Kt*_C_A_Cha,ΔKt*_C_A_Cha,Kt*_Cy_A_Cha,ΔKt*_Cy_A_Cha,Kt*_I_A_Cha,ΔKt*_I_A_Cha,Kt*_AD_A_Cha,ΔKt*_AD_A_Cha
0.9616,0.0006,0.767255937,-0.767255937,0.5651,0.1912,0.9616,0.0006
0.9622,0.0029,0.825613661,-0.043341747,0.7562,0.1049,0.9622,0.0029
0.9651,0.0064,0.782271914,0.164502053,0.8612,0.0488,0.9651,0.0064
0.9714,0.0031,0.946773967,-0.498595188,0.9100,0.0329,0.9714,0.0031
0.9745,0.0065,0.448178779,0.428459939,0.9429,0.0182,0.9745,0.0065
0.9811,0.0039,0.876638719,0.049596717,0.9611,0.0193,0.9811,0.0039
0.9849,0.0050,0.926235436,-0.298610676,0.9804,0.0060,0.9849,0.0050
0.9899,0.0103,0.62762476,-0.174514859,0.9864,0.0111,0.9899,0.0103
0.9340,-0.9340,0.695094518,-0.695094518,0.9037,-0.4052,0.9340,-0.9340
0.0647,0.1623,0.776591851,-0.345518746,0.4985,0.2781,0.0647,0.1623
0.2271,0.1812,0.431073105,0.321674598,0.7765,-0.7765,0.2271,0.1812
0.4083,0.1719,0.752747703,-0.752747703,0.6866,-0.6866,0.4083,0.1719
0.5802,0.1075,0.807561618,-0.485148515,0.7410,-0.7410,0.5802,0.1075
0.6876,0.0642,0.322413103,0.142922081,0.9915,-0.0766,0.6876,0.0642
0.7518,0.0436,0.465335185,0.50159727,0.9149,-0.9149,0.7518,0.0436
0.7955,0.0333,0.966932454,-0.118009356,0.9574,-0.6864,0.7955,0.0333
0.8288,0.0221,0.848923098,-0.848923098,0.2711,0.6177,0.8288,0.0221
0.8509,0.0195,0.825989961,-0.054861174,0.8887,-0.8887,0.8509,0.0195
0.8704,0.0183,0.771128787,-0.771128787,0.8820,-0.4107,0.8704,0.0183
0.8887,0.0156,0.929150599,-0.035842802,0.4713,0.2528,0.8887,0.0156
0.9043,0.0120,0.893307797,0.048019651,0.7241,-0.7241,0.9043,0.0120
0.9163,0.0137,0.941327448,-0.941327448,0.4712,0.3265,0.9163,0.0137
0.9300,0.0093,0.734485373,-0.734485373,0.7978,-0.7978,0.9300,0.0093
0.9393,0.0060,0.4635,0.4605,0.1037,0.2086,0.9393,0.0060
0.9453,0.0054,0.9240,0.0362,0.3124,0.2178,0.9453,0.0054
0.9507,0.0052,0.9602,-0.1955,0.5302,0.1730,0.9507,0.0052
0.9559,0.0044,0.7647,-0.2754,0.7031,0.1038,0.9559,0.0044
0.9603,0.0034,0.4892,0.0834,0.8070,0.0525,0.9603,0.0034
0.9637,0.0042,0.5727,0.0684,0.8595,0.0365,0.9637,0.0042
0.9679,0.0024,0.6411,0.0388,0.8960,0.0347,0.9679,0.0024
0.9703,0.0035,0.6799,-0.1487,0.9307,0.0217,0.9703,0.0035
0.9737,0.0029,0.5312,-0.0017,0.9524,0.0134,0.9737,0.0029
0.9766,0.0030,0.5295,0.0218,0.9658,0.0049,0.9766,0.0030
0.9796,0.0020,0.5514,0.2252,0.9707,0.0079,0.9796,0.0020
0.9815,0.0008,0.7765,-0.7765,0.9786,0.0034,0.9815,0.0008
0.9824,0.0038,0.7569,-0.2163,0.9820,0.0120,0.9824,0.0038
0.9861,0.0011,0.5406,-0.0185,0.9940,0.0109,0.9861,0.0011
0.9901,-0.0001,0.4850,0.0321,0.9979,-0.0515,0.9901,-0.0001
0.9900,-0.0003,0.5171,-0.0013,0.9463,-0.9463,0.9900,-0.0003
0.9897,0.0041,0.5158,0.0714,0.8490,-0.8490,0.9897,0.0041
0.9938,0.0032,0.5871,0.0333,0.7005,-0.2689,0.9938,0.0032
0.9970,-0.0012,0.6204,0.0512,0.4316,-0.4316,0.9970,-0.0012
0.9958,0.0034,0.6717,0.0412,0.9786,-0.4213,0.9958,0.0034
0.9992,-0.0003,0.7129,0.1922,0.5572,0.1489,0.9992,-0.0003
0.9989,0.0009,0.9050,-0.1708,0.7061,-0.1234,0.9989,0.0009
0.9998,-0.0012,0.7343,-0.7343,0.5828,-0.2624,0.9998,-0.0012
0.9985,-0.0046,0.9027,0.0850,0.3204,0.4121,0.9985,-0.0046
0.9939,-0.0158,0.9876,-0.0959,0.7324,-0.3990,0.9939,-0.0158
0.9781,0.0284,0.8917,-0.1473,0.3334,0.1632,0.9781,0.0284
0.9776,0.0116,0.8169,0.1277,0.6703,-0.6703,0.9776,0.0116
0.9892,-0.0059,0.9446,0.0003,0.9803,-0.9803,0.9892,-0.0059
0.9834,0.0193,0.9449,-0.1369,0.0516,0.0688,0.9834,0.0193
0.1466,0.1529,0.7074,-0.2491,0.2483,-0.0172,0.1466,0.1529
0.2995,0.1460,0.4583,0.4849,0.2311,0.0726,0.2995,0.1460
0.4454,0.1216,0.9432,-0.1033,0.3037,0.1832,0.4454,0.1216
0.5671,0.0755,0.8399,0.1425,0.4868,0.0702,0.5671,0.0755
0.6425,0.0610,0.9825,0.0231,0.5571,-0.0797,0.6425,0.0610
0.7431,0.0319,0.8377,0.0724,0.5847,0.0637,0.7431,0.0319
0.7750,0.0226,0.9102,-0.9102,0.6483,0.1530,0.7750,0.0226
0.7976,0.0195,0.6541,0.3450,0.8014,0.0015,0.7976,0.0195
0.8171,0.0189,0.9991,-0.9991,0.8029,0.0325,0.8171,0.0189
0.8360,0.0150,0.5452,0.2709,0.8354,0.0205,0.8360,0.0150
0.8511,0.0174,0.8161,-0.0173,0.8559,0.0288,0.8511,0.0174
0.8685,0.0104,0.7988,-0.0812,0.8847,0.0536,0.8685,0.0104
0.8789,0.0078,0.7176,-0.1754,0.9383,-0.0917,0.8789,0.0078
0.8867,0.0067,0.5422,0.2432,0.8466,0.0973,0.8867,0.0067
0.8934,0.0074,0.7854,0.1695,0.9439,0.0066,0.8934,0.0074
0.9008,0.0086,0.9549,-0.3139,0.9505,0.0068,0.9008,0.0086
0.9094,0.0108,0.6410,-0.1423,0.9573,-0.0067,0.9094,0.0108
0.9202,0.0076,0.4987,0.0936,0.9506,0.0186,0.9202,0.0076
0.9278,0.0051,0.5923,0.1369,0.9692,-0.0027,0.9278,0.0051
0.9330,0.0049,0.7292,-0.1204,0.9665,0.0004,0.9330,0.0049
0.9379,0.0007,0.6087,0.1235,0.9669,0.0028,0.9379,0.0007
0.9386,-0.0024,0.7322,0.1171,0.9697,0.0063,0.9386,-0.0024
0.9362,0.0024,0.8493,-0.2870,0.9760,0.0030,0.9362,0.0024
0.9385,-0.0004,0.5624,0.0296,0.9790,0.0065,0.9385,-0.0004
0.9381,0.0015,0.5920,0.0034,0.9855,0.0038,0.9381,0.0015
0.9396,-0.0009,0.5953,0.3115,0.9893,0.0049,0.9396,-0.0009
0.9387,-0.0055,0.9068,-0.0036,0.9942,0.0102,0.9387,-0.0055
0.9398,-0.0072,0.4368,0.2374,0.9379,-0.9379,0.9398,-0.0072
0.9326,0.0052,0.6742,-0.0446,0.1242,0.1536,0.9326,0.0052
0.9378,-0.0065,0.6296,0.2233,0.2778,0.1305,0.9378,-0.0065
0.9313,0.0135,0.8529,-0.1078,0.4083,0.0980,0.9313,0.0135
0.9448,-0.0033,0.7451,0.0243,0.5063,0.0815,0.9448,-0.0033
0.9415,-0.0043,0.7694,-0.0731,0.5878,0.0477,0.9415,-0.0043
0.9372,-0.0013,0.6963,-0.2244,0.6355,0.0410,0.9372,-0.0013
0.9359,-0.0053,0.4719,-0.2001,0.6765,0.0331,0.9359,-0.0053
0.9305,0.0064,0.2718,0.1590,0.7096,0.0133,0.9305,0.0064
0.9370,-0.0038,0.4309,0.2691,0.7229,0.0154,0.9370,-0.0038
0.9331,-0.0163,0.7000,-0.2124,0.7383,0.0186,0.9331,-0.0163
0.9168,0.0142,0.4876,0.5157,0.7569,0.0280,0.9168,0.0142
0.9393,-0.0371,0.8441,0.1631,0.8165,0.0174,0.9393,-0.0371
0.8500,0.0350,0.8455,-0.1441,0.8448,0.0193,0.8500,0.0350
0.8850,0.0194,0.7014,0.1018,0.8641,0.0082,0.8850,0.0194
0.9044,-0.0040,0.8032,-0.8032,0.8723,0.0087,0.9044,-0.0040
0.9004,-0.0082,0.7722,0.1695,0.8810,0.0083,0.9004,-0.0082
0.8922,0.0120,0.9416,0.0410,0.8892,0.0038,0.8922,0.0120
0.9042,0.0059,0.9826,0.0083,0.8931,0.0065,0.9042,0.0059
0.9101,-0.0089,0.9909,-0.9909,0.8996,0.0057,0.9101,-0.0089
0.9012,0.0105,0.8427,-0.8427,0.9053,0.0035,0.9012,0.0105
0.9117,-0.0003,0.6125,0.3396,0.9088,0.0042,0.9117,-0.0003
0.9115,-0.0221,0.9521,-0.9521,0.9130,0.0034,0.9115,-0.0221
0.8894,-0.0157,0.9746,-0.9746,0.9164,-0.0019,0.8894,-0.0157
0.8736,0.0105,0.5378,-0.1788,0.9145,0.0081,0.8736,0.0105
0.8842,0.0236,0.3590,0.4401,0.9226,0.0007,0.8842,0.0236
0.9077,0.0174,0.7991,-0.7991,0.9233,0.0001,0.9077,0.0174
0.9251,-0.0021,0.3131,0.4319,0.9235,0.0145,0.9251,-0.0021
0.9230,-0.0027,0.7450,-0.3100,0.9380,0.0062,0.9230,-0.0027
0.9203,0.0140,0.4349,-0.0386,0.9441,0.0262,0.9203,0.0140
0.9343,0.0104,0.3963,0.4225,0.9703,-0.1148,0.9343,0.0104
0.9446,0.0070,0.8188,-0.2101,0.8556,-0.1509,0.9446,0.0070
0.9516,0.0020,0.6087,-0.0335,0.7047,0.2953,0.9516,0.0020
0.9787,-0.0636,0.5994,-0.5994,0.7406,-0.2743,0.9787,-0.0636
0.9150,-0.9150,0.4315,-0.1835,0.4663,0.3710,0.9150,-0.9150
0.2216,0.2086,0.2480,0.2297,0.8372,-0.5481,0.2216,0.2086
0.4301,0.2005,0.4776,-0.4776,0.2891,0.0303,0.4301,0.2005
0.6306,0.1271,0.8041,-0.2775,0.3194,0.4259,0.6306,0.1271
0.7577,0.0480,0.5266,0.3555,0.7453,0.0515,0.7577,0.0480
0.8057,0.0264,0.8821,-0.8821,0.7968,0.1387,0.8057,0.0264
0.8321,0.0287,0.9820,-0.1802,0.9355,0.0049,0.8321,0.0287
0.8608,0.0092,0.8018,-0.2831,0.9404,-0.1746,0.8608,0.0092
0.8700,0.0214,0.5187,-0.0571,0.7659,-0.3111,0.8700,0.0214
0.8914,0.0126,0.4616,0.0260,0.4547,0.2973,0.8914,0.0126
0.9039,0.0098,0.4875,0.2165,0.7520,-0.0339,0.9039,0.0098
0.9137,0.0043,0.7040,-0.7040,0.7181,-0.0292,0.9137,0.0043
0.9181,0.0041,0.7663,-0.1176,0.6889,0.0259,0.9181,0.0041
0.9222,0.0064,0.6486,0.0783,0.7148,0.2117,0.9222,0.0064
0.9286,0.0059,0.7269,0.0462,0.9265,-0.0502,0.9286,0.0059
0.9345,0.0032,0.7731,0.0803,0.8763,-0.1267,0.9345,0.0032
0.9377,0.0069,0.8534,-0.8534,0.7495,0.1897,0.9377,0.0069
0.9445,0.0004,0.2639,0.0378,0.9392,-0.1082,0.9445,0.0004
0.9449,0.0107,0.3017,0.0908,0.8311,0.0268,0.9449,0.0107
0.9556,0.0008,0.3925,0.1949,0.8579,0.0687,0.9556,0.0008
0.9564,0.0112,0.5874,0.2608,0.9266,0.0081,0.9564,0.0112
0.9677,-0.0059,0.8482,-0.2054,0.9347,-0.0122,0.9677,-0.0059
0.9618,-0.0071,0.6429,0.2664,0.9225,0.0083,0.9618,-0.0071
0.9547,0.0070,0.9092,0.0483,0.9308,0.0227,0.9547,0.0070
0.9616,-0.0029,0.9575,-0.4753,0.9535,-0.0233,0.9616,-0.0029
0.9588,0.0176,0.4822,0.0585,0.9302,-0.1124,0.9588,0.0176
0.9764,0.0047,0.5408,0.2074,0.8178,0.1366,0.9764,0.0047
0.9811,-0.0012,0.7482,0.0845,0.9544,-0.0824,0.9811,-0.0012
0.9799,0.0040,0.8327,-0.2682,0.8720,-0.0985,0.9799,0.0040
