Kt*_C_A_Cha,ΔKt*_C_A_Cha,Kt*_Cy_A_Cha,ΔKt*_Cy_A_Cha,Kt*_I_A_Cha,ΔKt*_I_A_Cha,Kt*_AD_A_Cha,ΔKt*_AD_A_Cha
0.6871,-0.2771,0.4997,0.0470,0.7847,-0.7847,0.6871,-0.2771
0.4099,0.0286,0.5468,0.2814,0.7170,0.2634,0.4099,0.0286
0.4385,0.1463,0.8281,0.0249,0.9804,-0.4433,0.4385,0.1463
0.5848,0.1058,0.8531,-0.0242,0.5371,0.1881,0.5848,0.1058
0.6907,0.1568,0.8289,-0.0408,0.7252,0.0944,0.6907,0.1568
0.8475,-0.2454,0.7881,-0.7881,0.8195,0.0255,0.8475,-0.2454
0.6020,0.0008,0.9455,-0.9455,0.8451,-0.5169,0.6020,0.0008
0.6029,-0.1727,0.9743,-0.9743,0.3282,0.3340,0.6029,-0.1727
0.4301,0.3149,0.9760,-0.9760,0.6622,0.0510,0.4301,0.3149
0.7451,-0.1439,0.5855,-0.5855,0.7132,0.0005,0.7451,-0.1439
0.6011,0.0752,0.7082,0.0469,0.7137,-0.3568,0.6011,0.0752
0.6763,-0.1377,0.7550,-0.0193,0.3569,0.5106,0.6763,-0.1377
0.5386,0.2313,0.7357,-0.2317,0.8675,0.0843,0.5386,0.2313
0.7699,0.0924,0.5041,0.0598,0.9518,-0.1454,0.7699,0.0924
0.8623,0.0831,0.5639,0.1550,0.8064,-0.1554,0.8623,0.0831
0.9453,-0.1272,0.7189,-0.7189,0.6510,0.3288,0.9453,-0.1272
0.8181,-0.0973,0.8131,-0.8131,0.9799,-0.9799,0.8181,-0.0973
0.7208,0.0407,0.9597,-0.2615,0.3160,0.1187,0.7208,0.0407
0.7615,0.1696,0.6982,0.1849,0.4347,0.0836,0.7615,0.1696
0.9311,-0.9311,0.8831,-0.2867,0.5183,0.0477,0.9311,-0.9311
0.9043,-0.0451,0.5964,-0.5964,0.5660,0.0368,0.9043,-0.0451
0.8592,0.1281,0.7299,-0.4488,0.6028,0.0193,0.8592,0.1281
0.9873,-0.0357,0.2811,0.3800,0.6221,0.0220,0.9873,-0.0357
0.9517,0.0139,0.6611,-0.6611,0.6441,0.0229,0.9517,0.0139
0.9656,0.0242,0.6231,-0.1720,0.6670,0.0187,0.9656,0.0242
0.9898,0.0192,0.4511,0.5074,0.6857,0.0368,0.9898,0.0192
0.9961,-0.0244,0.6722,-0.2788,0.7519,0.0377,0.9961,-0.0244
0.9717,0.0330,0.3934,0.0085,0.7896,0.0190,0.9717,0.0330
0.9932,-0.1496,0.5614,0.0441,0.8160,0.0201,0.9932,-0.1496
0.8436,0.0905,0.6055,-0.1845,0.8362,0.0123,0.8436,0.0905
0.9341,0.0627,0.4210,-0.0069,0.8485,0.0197,0.9341,0.0627
0.9968,-0.9968,0.4141,0.2415,0.8682,0.0254,0.9968,-0.9968
0.9824,-0.9824,0.6556,0.0594,0.8936,-0.0406,0.9824,-0.9824
0.6311,0.0879,0.7150,-0.1549,0.8529,-0.1131,0.6311,0.0879
0.7191,0.0446,0.5601,0.0260,0.7398,0.1097,0.7191,0.0446
0.7637,0.0268,0.5861,0.1499,0.8495,-0.0198,0.7637,0.0268
0.7905,0.0236,0.7360,-0.7360,0.8297,0.0570,0.7905,0.0236
0.8141,0.0243,0.3213,0.0843,0.8867,0.0020,0.8141,0.0243
0.8384,0.0253,0.4056,-0.0491,0.8887,-0.1148,0.8384,0.0253
0.8637,0.0198,0.3565,-0.0104,0.7739,0.0849,0.8637,0.0198
0.8835,0.0217,0.3461,-0.0289,0.8589,0.0156,0.8835,0.0217
0.9052,0.0098,0.3172,0.0309,0.8745,-0.0021,0.9052,0.0098
0.9149,0.0072,0.3481,0.1361,0.8724,-0.0005,0.9149,0.0072
0.9221,0.0069,0.4842,0.0198,0.8719,0.0064,0.9221,0.0069
0.9290,0.0151,0.5039,0.0244,0.8782,0.0127,0.9290,0.0151
0.9441,0.0045,0.5283,0.0347,0.8909,0.0028,0.9441,0.0045
0.9486,0.0034,0.5630,-0.0063,0.8937,-0.0024,0.9486,0.0034
0.9520,-0.0003,0.5567,0.0594,0.8914,-0.0004,0.9520,-0.0003
0.9517,0.0016,0.6160,0.0239,0.8909,0.0299,0.9517,0.0016
0.9533,0.0061,0.6399,0.0023,0.9208,-0.1599,0.9533,0.0061
0.9594,0.0042,0.6422,0.2095,0.7609,0.1837,0.9594,0.0042
0.9636,0.0024,0.8517,-0.8517,0.9446,-0.2323,0.9636,0.0024
0.9660,-0.0048,0.8795,-0.0264,0.7123,-0.4449,0.9660,-0.0048
0.9612,0.0021,0.8531,-0.1772,0.2674,0.0579,0.9612,0.0021
0.9633,0.0121,0.6759,0.0806,0.3253,0.4111,0.9633,0.0121
0.9754,-0.0178,0.7565,-0.7565,0.7365,-0.4026,0.9754,-0.0178
0.9576,0.0222,0.9351,-0.9351,0.3339,0.2824,0.9576,0.0222
0.9798,-0.0153,0.8784,-0.1847,0.6163,-0.1450,0.9798,-0.0153
0.9645,-0.0018,0.6937,-0.1530,0.4713,0.0689,0.9645,-0.0018
0.9627,-0.0007,0.5408,-0.0928,0.5402,-0.0130,0.9627,-0.0007
0.9620,0.0009,0.4480,-0.0574,0.5272,0.1284,0.9620,0.0009
0.9629,0.0032,0.3906,-0.0983,0.6556,0.1022,0.9629,0.0032
0.9661,-0.0032,0.2923,-0.0458,0.7578,0.0842,0.9661,-0.0032
0.9630,-0.0056,0.2465,0.0657,0.8419,0.1307,0.9630,-0.0056
0.9574,0.0168,0.3123,0.1380,0.9726,-0.1654,0.9574,0.0168
0.9742,-0.0130,0.4503,0.1492,0.8072,-0.2336,0.9742,-0.0130
0.9612,0.0113,0.5995,-0.0659,0.5736,0.2123,0.9612,0.0113
0.9725,0.0057,0.5336,0.1831,0.7858,0.0316,0.9725,0.0057
0.9782,-0.0040,0.7167,0.2133,0.8174,-0.1402,0.9782,-0.0040
0.9741,0.0114,0.9300,-0.9300,0.6772,0.2326,0.9741,0.0114
0.9855,0.0112,0.7200,0.1363,0.9098,-0.0003,0.9855,0.0112
0.9967,0.0008,0.8563,-0.0709,0.9095,-0.1475,0.9967,0.0008
0.9975,0.0093,0.7854,-0.7854,0.7621,0.0184,0.9975,0.0093
0.6610,0.0761,0.5234,0.0368,0.6347,-0.1475,0.6610,0.0761
0.7370,0.0364,0.5602,0.2015,0.4872,0.0329,0.7370,0.0364
0.7735,0.0266,0.7618,-0.7618,0.5201,0.0714,0.7735,0.0266
0.8001,0.0197,0.6458,-0.6458,0.5915,0.1621,0.8001,0.0197
0.8198,0.0112,0.9728,-0.0961,0.7536,-0.7536,0.8198,0.0112
0.8310,0.0116,0.8767,-0.2617,0.4450,0.0826,0.8310,0.0116
0.8426,0.0110,0.6149,0.2816,0.5276,0.0669,0.8426,0.0110
0.8536,0.0048,0.8965,-0.8965,0.5944,0.0272,0.8536,0.0048
0.8584,0.0032,0.8905,-0.1316,0.6216,0.0483,0.8584,0.0032
0.8616,0.0131,0.7589,-0.7589,0.6699,0.0485,0.8616,0.0131
0.8747,0.0124,0.4372,-0.1024,0.7184,0.0499,0.8747,0.0124
0.8871,0.0143,0.3348,-0.1279,0.7683,0.0207,0.8871,0.0143
0.9014,0.0113,0.2068,0.0179,0.7890,0.0134,0.9014,0.0113
0.9127,0.0060,0.2248,0.1175,0.8024,0.0126,0.9127,0.0060
0.9187,0.0036,0.3423,-0.3423,0.8150,0.0056,0.9187,0.0036
0.9223,0.0038,0.8004,-0.8004,0.8207,0.0107,0.9223,0.0038
0.9261,0.0027,0.9892,-0.0419,0.8314,0.0095,0.9261,0.0027
0.9288,0.0018,0.9473,0.0609,0.8409,0.0115,0.9288,0.0018
0.9306,0.0087,0.9402,-0.0461,0.8600,0.0091,0.9306,0.0087
0.9392,0.0060,0.8941,-0.3178,0.8690,0.0082,0.9392,0.0060
0.9452,-0.0035,0.5763,0.1294,0.8773,0.0081,0.9452,-0.0035
0.9417,0.0115,0.7057,-0.7057,0.8853,0.0066,0.9417,0.0115
0.9532,-0.0073,0.9882,-0.9882,0.8920,0.0004,0.9532,-0.0073
0.9460,-0.0017,0.7311,0.0956,0.8923,-0.0020,0.9460,-0.0017
0.9443,0.0007,0.8267,-0.3306,0.8904,-0.0120,0.9443,0.0007
0.9450,0.0004,0.4961,0.4298,0.8784,0.0087,0.9450,0.0004
0.9454,-0.0076,0.9259,-0.6196,0.8871,0.0163,0.9454,-0.0076
0.9377,0.0144,0.3063,0.2501,0.9034,-0.0108,0.9377,0.0144
0.9521,-0.0091,0.5563,-0.0698,0.8926,0.0154,0.9521,-0.0091
0.9430,-0.0108,0.4865,0.3597,0.9079,-0.0018,0.9430,-0.0108
0.9322,-0.0104,0.8462,0.0068,0.9061,-0.0013,0.9322,-0.0104
0.9217,0.0218,0.8529,-0.8529,0.9048,-0.0052,0.9217,0.0218
0.9435,0.0114,0.6052,-0.6052,0.8996,0.0216,0.9435,0.0114
0.9549,0.0175,0.7839,-0.5317,0.9212,-0.0145,0.9549,0.0175
0.9725,0.0174,0.2521,-0.1268,0.9067,-0.0038,0.9725,0.0174
0.9899,-0.0082,0.1253,0.0059,0.9029,0.0237,0.9899,-0.0082
0.9817,-0.0133,0.1313,0.0505,0.9266,-0.0071,0.9817,-0.0133
0.9684,0.0135,0.1817,-0.0039,0.9195,0.0031,0.9684,0.0135
0.9819,0.0169,0.1778,0.0414,0.9226,0.0078,0.9819,0.0169
0.9987,-0.9987,0.2192,0.0179,0.9304,0.0024,0.9987,-0.9987
0.4104,0.5585,0.2383,0.0082,0.9195,0.0002,0.4104,0.5585
0.9689,-0.9689,0.2464,-0.0061,0.9197,-0.1300,0.9689,-0.9689
0.7453,-0.7453,0.2403,-0.0175,0.7897,-0.4695,0.7453,-0.7453
0.6223,0.0608,0.2228,-0.0143,0.3202,0.4874,0.6223,0.0608
0.6831,0.0476,0.2085,-0.0446,0.8076,0.1676,0.6831,0.0476
0.7307,0.0381,0.1639,0.0202,0.9752,0.0314,0.7307,0.0381
0.7989,0.0180,0.1591,-0.0250,0.9506,-0.4478,0.7989,0.0180
0.8170,0.0065,0.1341,-0.0206,0.5028,0.5056,0.8170,0.0065
0.8330,0.0094,0.1127,0.0227,0.9892,-0.0892,0.8330,0.0094
0.8424,0.0159,0.1354,0.0130,0.8999,0.0139,0.8424,0.0159
0.8583,-0.0012,0.1484,-0.0125,0.9138,-0.9138,0.8583,-0.0012
0.8571,0.0230,0.1359,-0.0098,0.5461,0.1232,0.8571,0.0230
0.8800,0.0130,0.1261,-0.0161,0.6693,0.1968,0.8800,0.0130
0.8930,0.0060,0.1100,0.0258,0.8661,-0.5265,0.8930,0.0060
0.8990,0.0017,0.1359,0.0801,0.3397,-0.0788,0.8990,0.0017
0.9007,0.0032,0.2160,0.1148,0.2609,0.0141,0.9007,0.0032
0.9039,0.0079,0.3308,0.0359,0.2749,0.0511,0.9039,0.0079
0.9117,0.0026,0.3666,-0.0244,0.3260,0.1053,0.9117,0.0026
0.9144,0.0073,0.3423,0.3935,0.4313,0.1017,0.9144,0.0073
0.9217,0.0067,0.3705,0.0450,0.5331,0.0025,0.9217,0.0067
0.9284,0.0098,0.4156,0.0105,0.5356,0.0677,0.9284,0.0098
0.9382,-0.0095,0.4261,-0.0006,0.6033,0.2114,0.9382,-0.0095
0.9286,0.0006,0.4256,0.0008,0.8147,0.0244,0.9286,0.0006
0.9293,-0.0382,0.4264,0.0073,0.8391,0.0001,0.9293,-0.0382
0.8910,0.0000,0.4337,-0.0119,0.8392,0.0312,0.8910,0.0000
0.8910,0.0511,0.4218,0.0623,0.8704,0.0383,0.8910,0.0511
0.9421,-0.0050,0.4841,0.3332,0.9087,-0.9087,0.9421,-0.0050
0.9371,-0.0016,0.8173,0.1709,0.2897,0.0691,0.9371,-0.0016
0.9355,0.0051,0.9882,-0.9882,0.3588,0.0459,0.9355,0.0051
0.9406,0.0033,0.6183,0.1604,0.4047,0.0933,0.9406,0.0033
0.9439,-0.0035,0.7787,-0.1328,0.4980,0.0725,0.9439,-0.0035
0.9404,-0.0040,0.6459,-0.6459,0.5705,0.0300,0.9404,-0.0040
0.9364,0.0018,0.8050,0.0086,0.6005,0.0292,0.9364,0.0018
0.9382,0.0077,0.8136,-0.8136,0.6297,0.0061,0.9382,0.0077
0.9459,0.0124,0.8963,-0.1470,0.6358,0.0225,0.9459,0.0124
0.9583,-0.0113,0.7493,-0.3761,0.6583,0.0229,0.9583,-0.0113
0.9470,-0.0962,0.3732,0.0823,0.6812,0.0504,0.9470,-0.0962
0.8507,0.0814,0.4555,0.3751,0.7316,-0.0885,0.8507,0.0814
0.9321,0.0124,0.8306,0.1541,0.6431,0.1006,0.9321,0.0124
0.9445,0.0113,0.9847,-0.9847,0.7437,0.0136,0.9445,0.0113
0.9558,0.0041,0.9426,-0.0073,0.7572,0.0088,0.9558,0.0041
0.9599,-0.0130,0.9353,-0.1024,0.7661,0.0066,0.9599,-0.0130
0.9469,0.0070,0.8329,-0.8329,0.7727,0.0056,0.9469,0.0070
0.9539,0.0049,0.7284,-0.3054,0.7783,0.0058,0.9539,0.0049
0.9588,-0.0105,0.4231,-0.1452,0.7840,0.0119,0.9588,-0.0105
0.9483,0.0002,0.2779,0.0080,0.7959,0.0081,0.9483,0.0002
0.9484,0.0062,0.2859,-0.0458,0.8040,0.0073,0.9484,0.0062
0.9546,0.0023,0.2402,0.0689,0.8113,0.0016,0.9546,0.0023
0.9569,0.0077,0.3090,0.0209,0.8129,0.0093,0.9569,0.0077
0.9645,0.0108,0.3300,0.0033,0.8222,0.0097,0.9645,0.0108
0.9754,0.0135,0.3332,0.0032,0.8319,-0.0015,0.9754,0.0135
0.9889,0.0049,0.3364,0.0194,0.8304,0.0025,0.9889,0.0049
0.9938,-0.0077,0.3559,0.0160,0.8330,0.0092,0.9938,-0.0077
0.9861,-0.0129,0.3718,0.0037,0.8422,-0.0191,0.9861,-0.0129
0.9731,-0.0516,0.3756,0.0027,0.8231,0.0020,0.9731,-0.0516
0.9215,0.0218,0.3783,0.0101,0.8251,0.0239,0.9215,0.0218
0.9433,-0.9433,0.3883,0.0188,0.8490,-0.0055,0.9433,-0.9433
0.8624,-0.8624,0.4071,0.0107,0.8436,0.0040,0.8624,-0.8624
0.9993,0.0028,0.5168,0.0391,0.8613,0.0025,0.9993,0.0028
0.9747,0.0033,0.6494,0.0273,0.8749,-0.0125,0.9747,0.0033
0.9780,-0.0117,0.6768,0.0206,0.8623,-0.0616,0.9780,-0.0117
0.9663,-0.0107,0.6974,0.0681,0.8008,-0.0675,0.9663,-0.0107
0.9556,0.0329,0.7655,0.1749,0.7333,0.1438,0.9556,0.0329
0.9885,-0.9885,0.9404,-0.9404,0.8771,-0.0662,0.9885,-0.9885
0.4750,-0.4750,0.5927,0.1898,0.8108,-0.0747,0.4750,-0.4750
0.9374,0.0304,0.7825,0.2198,0.7362,0.0022,0.9374,0.0304
0.9868,-0.0353,0.9013,0.0165,0.8081,-0.4053,0.9868,-0.0353
0.9515,-0.0043,0.9178,0.0519,0.4029,0.4762,0.9515,-0.0043
0.9473,-0.9473,0.9697,-0.0319,0.8790,0.0007,0.9473,-0.9473
0.9911,0.0169,0.8487,0.1057,0.8885,-0.0176,0.9911,0.0169
0.9989,0.0010,0.9852,-0.9852,0.7636,0.0051,0.9989,0.0010
0.9999,-0.0568,0.5525,-0.2004,0.7687,0.0191,0.9999,-0.0568
0.9431,0.0101,0.3521,-0.3521,0.7878,0.0156,0.9431,0.0101
0.9532,-0.9532,0.5161,0.4589,0.8035,0.0029,0.9532,-0.9532
0.8245,-0.1141,0.9750,-0.1488,0.8063,0.1363,0.8245,-0.1141
0.7104,-0.7104,0.8262,-0.8262,0.9426,-0.9426,0.7104,-0.7104
0.0152,0.1357,0.7720,-0.7720,0.4455,0.1023,0.0152,0.1357
0.1509,0.1453,0.2710,0.0782,0.5478,0.0646,0.1509,0.1453
0.2962,0.1274,0.3491,0.0526,0.6124,0.0558,0.2962,0.1274
0.4236,0.1213,0.4018,-0.0582,0.6681,0.0415,0.4236,0.1213
0.5448,0.0191,0.3435,-0.1960,0.7097,0.0286,0.5448,0.0191
0.5640,0.0414,0.1475,-0.0658,0.7383,0.0199,0.5640,0.0414
0.6054,-0.0486,0.0818,-0.0223,0.7582,0.0222,0.6054,-0.0486
0.5567,-0.0515,0.0595,0.0184,0.7804,0.0229,0.5567,-0.0515
0.5053,-0.0815,0.0779,0.0396,0.8033,0.0177,0.5053,-0.0815
0.4238,0.0823,0.1175,0.0207,0.8210,0.0069,0.4238,0.0823
0.5060,0.3086,0.1382,0.0037,0.8279,0.0144,0.5060,0.3086
0.8147,0.0187,0.1419,0.0063,0.8423,0.0142,0.8147,0.0187
0.8333,0.1287,0.1482,0.0054,0.8565,0.0014,0.8333,0.1287
0.9620,0.0116,0.1536,-0.0174,0.8579,0.0106,0.9620,0.0116
0.9736,0.0003,0.1363,-0.0125,0.8685,0.0107,0.9736,0.0003
0.9739,0.0036,0.1238,0.0002,0.8792,0.0102,0.9739,0.0036
0.9775,0.0026,0.1240,0.0700,0.8894,0.0029,0.9775,0.0026
0.9801,0.0065,0.1941,0.0464,0.8923,0.0035,0.9801,0.0065
0.9867,0.0083,0.2405,0.1989,0.8958,0.0038,0.9867,0.0083
0.9949,0.0030,0.4394,-0.4394,0.8996,0.0118,0.9949,0.0030
0.9979,0.0010,0.4952,0.0093,0.9115,0.0045,0.9979,0.0010
0.9990,0.0098,0.5045,0.4061,0.9160,0.0012,0.9990,0.0098
0.0850,0.1677,0.9106,-0.3669,0.9172,0.0057,0.0850,0.1677
0.2526,0.3067,0.5436,-0.0635,0.9229,0.0002,0.2526,0.3067
0.5593,0.3024,0.4801,0.1481,0.9231,0.0059,0.5593,0.3024
0.8617,-0.8617,0.6282,-0.6282,0.9289,0.0050,0.8617,-0.8617
0.1088,0.2367,0.9023,-0.9023,0.9339,-0.0008,0.1088,0.2367
0.3455,0.3691,0.5614,-0.0741,0.9331,0.0047,0.3455,0.3691
0.7146,-0.7146,0.4873,0.0125,0.9378,0.0025,0.7146,-0.7146
0.0646,0.1556,0.4998,0.4558,0.9402,-0.0006,0.0646,0.1556
0.2202,0.1995,0.9556,-0.9556,0.9396,0.0081,0.2202,0.1995
0.4197,0.0759,0.6453,0.1876,0.9478,0.0050,0.4197,0.0759
0.4956,0.1003,0.8329,-0.8329,0.9528,0.0054,0.4956,0.1003
0.5959,0.2057,0.6326,-0.1198,0.9582,0.0153,0.5959,0.2057
0.8017,0.0924,0.5128,0.1125,0.9735,0.0328,0.8017,0.0924
0.8940,0.0514,0.6253,0.1453,1.0063,-1.0063,0.8940,0.0514
0.9454,0.0259,0.7706,0.0517,0.7813,0.2029,0.9454,0.0259
0.9714,0.0179,0.8223,0.1532,0.9842,-0.2115,0.9714,0.0179
0.9893,0.0155,0.9755,-0.2670,0.7727,-0.0336,0.9893,0.0155
0.8914,-0.8914,0.8643,-0.8643,0.8713,-0.2586,0.8914,-0.8914
0.0584,0.1640,0.8770,0.1149,0.6127,-0.6127,0.0584,0.1640
0.2224,0.2714,0.9919,-0.5838,0.9155,-0.2156,0.2224,0.2714
0.4938,0.2721,0.4080,-0.4080,0.6999,-0.6999,0.4938,0.2721
0.7658,0.1621,0.1630,-0.0657,0.4850,0.2297,0.7658,0.1621
0.9280,0.0607,0.0973,0.1210,0.7147,-0.7147,0.9280,0.0607
0.9887,0.0205,0.2183,-0.0569,0.6732,-0.4082,0.9887,0.0205
0.1109,0.2379,0.1614,-0.0587,0.2650,-0.2650,0.1109,0.2379
0.3487,0.2957,0.1027,-0.0304,0.9397,-0.9397,0.3487,0.2957
0.6445,0.2703,0.0723,-0.0077,0.5172,0.0919,0.6445,0.2703
0.9148,-0.9148,0.0646,0.0223,0.6092,0.0560,0.9148,-0.9148
0.7234,0.2108,0.0869,0.0172,0.6651,0.0817,0.7234,0.2108
0.9342,-0.9342,0.1042,0.0261,0.7469,0.0278,0.9342,-0.9342
0.0789,0.1740,0.1303,0.0908,0.7746,0.0185,0.0789,0.1740
0.2529,0.2425,0.2211,0.0579,0.7931,0.0089,0.2529,0.2425
0.4954,0.2871,0.2790,0.0497,0.8020,0.0051,0.4954,0.2871
0.7825,0.1479,0.3287,0.0158,0.8071,0.0256,0.7825,0.1479
0.9304,0.0447,0.3445,0.0454,0.8326,0.0176,0.9304,0.0447
0.9751,0.0113,0.3899,0.0432,0.8503,0.0098,0.9751,0.0113
0.9864,0.0199,0.4331,-0.0082,0.8601,0.0142,0.9864,0.0199
0.009843796,0.063586822,0.4249,-0.0374,0.8743,0.0108,0.009843796,0.063586822
0.073430618,0.116026903,0.3876,0.0026,0.8851,0.0120,0.073430618,0.116026903
0.189457521,0.08360617,0.3902,-0.0538,0.8972,0.0139,0.189457521,0.08360617
0.273063691,0.033733969,0.3364,-0.0627,0.9110,-0.0701,0.273063691,0.033733969
0.30679766,0.084173788,0.2737,-0.0005,0.8409,-0.0271,0.30679766,0.084173788
0.390971448,0.010234743,0.2731,0.0304,0.8138,0.0287,0.390971448,0.010234743
0.401206191,0.0448567,0.3035,0.0224,0.8425,0.0971,0.401206191,0.0448567
0.446062891,-0.232167506,0.3259,0.0390,0.9396,-0.0179,0.446062891,-0.232167506
0.213895384,0.016744874,0.3649,0.0855,0.9217,-0.0076,0.213895384,0.016744874
0.230640259,-0.020398833,0.4503,0.0983,0.9141,0.0286,0.230640259,-0.020398833
0.210241425,0.076564117,0.5486,0.0579,0.9427,-0.0133,0.210241425,0.076564117
0.286805542,-0.035340684,0.6065,0.0741,0.9295,0.0008,0.286805542,-0.035340684
0.251464858,0.096611674,0.6807,0.0331,0.9303,-0.0102,0.251464858,0.096611674
0.348076533,-0.000469631,0.7138,0.1352,0.9201,-0.0188,0.348076533,-0.000469631
0.347606902,-0.126223085,0.8490,-0.0134,0.9012,0.0236,0.347606902,-0.126223085
0.221383817,0.298407557,0.8356,0.0740,0.9249,-0.0020,0.221383817,0.298407557
0.519791374,0.181260732,0.9097,-0.9097,0.9229,-0.0053,0.519791374,0.181260732
0.701052106,-0.219966059,0.9268,0.0432,0.9176,0.0005,0.701052106,-0.219966059
0.481086047,0.520859494,0.9701,0.0238,0.9181,-0.0022,0.481086047,0.520859494
0.833621814,-0.066365877,0.9996,0.0086,0.9239,-0.0011,0.833621814,-0.066365877
0.825613661,-0.043341747,0.9986,-0.0038,0.8605,0.0633,0.825613661,-0.043341747
0.782271914,0.164502053,0.9949,0.0016,0.9239,-0.0029,0.782271914,0.164502053
0.946773967,-0.498595188,0.9964,0.0054,0.9210,-0.0045,0.946773967,-0.498595188
0.876638719,0.049596717,0.9979,0.0092,0.9304,-0.0492,0.876638719,0.049596717
0.62762476,-0.174514859,0.9999,0.0061,0.9489,-0.0070,0.62762476,-0.174514859
0.740477011,0.202011692,0.9993,0.0026,0.9483,0.0149,0.740477011,0.202011692
0.431073105,0.321674598,0.9461,-0.4100,0.9657,0.0358,0.431073105,0.321674598
0.465335185,0.50159727,0.9629,-0.9629,0.8197,-0.5553,0.465335185,0.50159727
0.966932454,-0.118009356,0.6805,0.1250,0.2644,-0.0028,0.966932454,-0.118009356
0.848923098,-0.848923098,0.8055,-0.8055,0.2616,0.0010,0.848923098,-0.848923098
0.825989961,-0.054861174,0.9191,-0.2326,0.2625,0.2683,0.825989961,-0.054861174
0.771128787,-0.771128787,0.6864,0.0676,0.5309,-0.3326,0.771128787,-0.771128787
0.929150599,-0.035842802,0.7540,-0.7540,0.1983,-0.0236,0.929150599,-0.035842802
0.893307797,0.048019651,-0.6047,0.0958,0.1746,0.0191,0.893307797,0.048019651
0.941327448,-0.941327448,,,0.1937,0.0572,0.941327448,-0.941327448
0.734485373,-0.734485373,,,0.2509,0.1039,0.734485373,-0.734485373
0.4635,0.4605,,,0.3548,0.2900,0.4635,0.4605
0.9240,0.0362,,,0.6448,0.0776,0.9240,0.0362
0.9602,-0.1955,,,0.7224,0.0143,0.9602,-0.1955
0.7647,-0.2754,,,0.7367,0.0275,0.7647,-0.2754
0.4892,0.0834,,,0.7642,-0.0073,0.4892,0.0834
0.5727,0.0684,,,0.7569,0.0316,0.5727,0.0684
0.6411,0.0388,,,0.7885,0.0465,0.6411,0.0388
0.6799,-0.1487,,,0.8350,0.0893,0.6799,-0.1487
0.5312,-0.0017,,,0.9243,-0.9243,0.5312,-0.0017
0.5295,0.0218,,,0.6436,0.0552,0.5295,0.0218
0.5514,0.2252,,,0.6988,0.0458,0.5514,0.2252
0.7765,-0.7765,,,0.7446,0.0200,0.7765,-0.7765
0.7569,-0.2163,,,0.7646,0.0205,0.7569,-0.2163
0.5406,-0.0185,,,0.7850,0.0174,0.5406,-0.0185
0.5221,-0.0030,,,0.8024,0.0085,0.5221,-0.0030
0.5191,-0.0363,,,0.8110,0.0078,0.5191,-0.0363
0.4828,0.0022,,,0.8188,0.0154,0.4828,0.0022
0.4850,0.0321,,,0.8342,0.0131,0.4850,0.0321
0.5171,-0.0013,,,0.8473,0.0114,0.5171,-0.0013
0.5158,0.0714,,,0.8587,0.0047,0.5158,0.0714
0.5871,0.0333,,,0.8634,0.0141,0.5871,0.0333
0.6204,0.0512,,,0.8774,0.0200,0.6204,0.0512
0.6717,0.0412,,,0.8974,-0.0004,0.6717,0.0412
0.7129,0.1922,,,0.8970,0.0046,0.7129,0.1922
0.9050,-0.1708,,,0.9016,0.0030,0.9050,-0.1708
0.7343,-0.7343,,,0.9045,0.0017,0.7343,-0.7343
0.9027,0.0850,,,0.9062,0.0052,0.9027,0.0850
0.9876,-0.0959,,,0.9114,0.0247,0.9876,-0.0959
0.8917,-0.1473,,,0.9361,0.0052,0.8917,-0.1473
0.7445,0.0725,,,0.9412,0.0025,0.7445,0.0725
0.8169,0.1277,,,0.9437,0.0026,0.8169,0.1277
0.9446,0.0003,,,0.9463,0.0208,0.9446,0.0003
0.9449,-0.1369,,,0.9671,0.0039,0.9449,-0.1369
0.8081,-0.8081,,,0.9710,-0.1929,0.8081,-0.8081
0.6763,0.0311,,,0.7781,0.1786,0.6763,0.0311
0.7074,-0.2491,,,0.9567,0.0038,0.7074,-0.2491
0.4583,0.4849,,,0.9605,-0.0114,0.4583,0.4849
0.9432,-0.1033,,,0.9491,-0.0117,0.9432,-0.1033
0.8399,0.1425,,,0.9374,0.0128,0.8399,0.1425
0.9825,0.0231,,,0.9502,0.0156,0.9825,0.0231
0.8377,0.0724,,,0.9739,-0.0152,0.8377,0.0724
0.9102,-0.9102,,,0.9587,0.0078,0.9102,-0.9102
0.6541,0.3450,,,0.9665,-0.0116,0.6541,0.3450
0.9991,-0.9991,,,0.9549,-0.0483,0.9991,-0.9991
0.5452,0.2709,,,0.9066,0.0614,0.5452,0.2709
0.8161,-0.0173,,,0.9679,-0.0239,0.8161,-0.0173
0.7988,-0.0812,,,0.9440,-0.3768,0.7988,-0.0812
0.7176,-0.1754,,,0.5672,0.3495,0.7176,-0.1754
0.5422,0.2432,,,0.9167,-0.2686,0.5422,0.2432
0.7854,0.1695,,,0.6481,0.2419,0.7854,0.1695
0.9549,-0.3139,,,0.8900,-0.1280,0.9549,-0.3139
0.6410,-0.1423,,,0.7620,-0.7620,0.6410,-0.1423
0.4987,0.0936,,,0.7450,0.0706,0.4987,0.0936
0.5923,0.1369,,,0.8156,-0.0982,0.5923,0.1369
0.7292,-0.1204,,,0.7174,0.2713,0.7292,-0.1204
0.6087,0.1235,,,0.9887,-0.0050,0.6087,0.1235
0.7322,0.1171,,,0.9837,-0.1510,0.7322,0.1171
0.8493,-0.2870,,,0.8327,0.1412,0.8493,-0.2870
0.5624,0.0296,,,0.9739,-0.2417,0.5624,0.0296
0.5920,0.0034,,,0.7323,0.1989,0.5920,0.0034
