Kt*_C_NA_Cha,ΔKt*_C_NA_Cha,Kt*_Cy_NA_Cha,ΔKt*_Cy_NA_Cha,Kt*_I_NA_Cha,ΔKt*_I_NA_Cha,Kt*_AD_NA_Cha,ΔKt*_AD_NA_Cha
0.2382,0.0027,0.0558,0.0743,0.6689,-0.0605,0.2382,0.0027
0.2409,0.0244,0.1301,-0.0097,0.6084,-0.0812,0.2409,0.0244
0.2654,0.0270,0.1204,-0.0841,0.5273,0.0354,0.2654,0.0270
0.2924,0.0419,0.0363,-0.0288,0.5627,0.0745,0.2924,0.0419
0.3343,0.0700,0.0075,-0.0015,0.6372,-0.1773,0.3343,0.0700
0.4043,0.1030,0.0060,-0.0003,0.4599,0.5021,0.4043,0.1030
0.5073,0.0101,0.0058,0.0010,0.9620,-0.9620,0.5073,0.0101
0.5174,0.0012,0.0067,0.0044,0.7407,-0.1905,0.5174,0.0012
0.5185,0.0132,0.0111,0.0075,0.5502,0.0773,0.5185,0.0132
0.5317,0.0700,0.0186,0.0075,0.6276,0.1300,0.5317,0.0700
0.6017,0.1272,0.0261,0.0296,0.7576,-0.1797,0.6017,0.1272
0.7289,0.0472,0.0557,0.0717,0.5779,0.1763,0.7289,0.0472
0.7761,0.1028,0.1274,0.1296,0.7541,-0.0576,0.7761,0.1028
0.8789,-0.0524,0.2571,0.0354,0.6966,-0.0372,0.8789,-0.0524
0.8265,0.0269,0.2924,0.0072,0.6593,0.3256,0.8265,0.0269
0.8534,-0.1132,0.2996,0.0675,0.9849,-0.9849,0.8534,-0.1132
0.7402,0.2356,0.3671,0.0317,0.9728,-0.4996,0.7402,0.2356
0.9758,-0.9758,0.3988,0.0928,0.4733,0.3513,0.9758,-0.9758
0.8356,-0.1726,0.4916,0.0521,0.8245,-0.8245,0.8356,-0.1726
0.6631,0.3112,0.5437,-0.0474,0.6525,-0.1708,0.6631,0.3112
0.9742,-0.2967,0.4963,0.1332,0.4817,0.3373,0.9742,-0.2967
0.6775,0.3282,0.6295,-0.0323,0.8190,-0.8190,0.6775,0.3282
0.9750,-0.2433,0.4653,-0.0178,0.3303,-0.0781,0.9750,-0.2433
0.7317,0.1626,0.4475,0.2457,0.2522,0.0428,0.7317,0.1626
0.8943,-0.8943,0.6932,0.1121,0.2950,0.1600,0.8943,-0.8943
0.7808,-0.1574,0.8053,-0.1012,0.4550,0.0112,0.7808,-0.1574
0.6234,-0.2268,0.7041,0.2565,0.4662,-0.1056,0.6234,-0.2268
0.3966,0.1740,0.9606,-0.9606,0.3605,0.1556,0.3966,0.1740
0.5706,0.0103,0.8910,-0.0254,0.5162,0.1536,0.5706,0.0103
0.5809,0.0630,0.8655,0.1049,0.6698,-0.1884,0.5809,0.0630
0.6439,0.0159,0.9704,-0.3063,0.4814,-0.0237,0.6439,0.0159
0.6598,-0.1324,0.6641,-0.6641,0.4578,0.0759,0.6598,-0.1324
0.5274,-0.1154,0.9262,0.0346,0.5336,0.3035,0.5274,-0.1154
0.4121,0.0843,0.9608,-0.3207,0.8372,-0.1431,0.4121,0.0843
0.4964,-0.4964,0.6402,-0.2801,0.6941,0.1005,0.4964,-0.4964
0.8690,0.0896,0.3601,0.5280,0.7945,0.0413,0.8690,0.0896
0.9586,0.0271,0.8881,-0.0806,0.8358,-0.1061,0.9586,0.0271
0.9857,-0.9857,0.8075,-0.8075,0.7297,0.0626,0.9857,-0.9857
0.9884,-0.9884,0.7267,-0.7267,0.7923,-0.0047,0.9884,-0.9884
0.9373,0.0725,0.8490,-0.8490,0.7876,-0.7876,0.9373,0.0725
0.9698,-0.0587,0.7333,-0.7333,0.2036,0.1510,0.9698,-0.0587
0.9111,-0.9111,0.6615,-0.1187,0.3546,0.1394,0.9111,-0.9111
0.9951,-0.3371,0.5429,0.4289,0.4940,0.0986,0.9951,-0.3371
0.6580,0.0453,0.9717,-0.9717,0.5926,0.0472,0.6580,0.0453
0.7034,0.2794,0.2416,-0.0161,0.6399,-0.0031,0.7034,0.2794
0.9827,-0.9827,0.2255,0.0194,0.6368,-0.2169,0.9827,-0.9827
0.1114,0.1361,0.2449,0.0889,0.4199,0.0883,0.1114,0.1361
0.2475,0.1292,0.3338,0.1315,0.5082,0.0247,0.2475,0.1292
0.3767,0.0481,0.4653,-0.0093,0.5329,-0.0262,0.3767,0.0481
0.4248,0.0842,0.4560,-0.0393,0.5067,0.0252,0.4248,0.0842
0.5091,0.0861,0.4167,-0.1307,0.5319,0.1165,0.5091,0.0861
0.5951,0.0363,0.2860,-0.0224,0.6484,0.0828,0.5951,0.0363
0.6314,0.0376,0.2636,0.0672,0.7312,-0.1469,0.6314,0.0376
0.6690,0.0377,0.3309,0.0527,0.5844,0.1969,0.6690,0.0377
0.7067,0.0291,0.3836,0.0549,0.7812,-0.2508,0.7067,0.0291
0.7359,0.0289,0.4385,0.1358,0.5304,0.2989,0.7359,0.0289
0.7648,0.0225,0.5742,0.1188,0.8294,0.0868,0.7648,0.0225
0.7872,0.0199,0.6930,-0.3177,0.9162,0.0081,0.7872,0.0199
0.8071,0.0181,0.3752,-0.1376,0.9243,0.0002,0.8071,0.0181
0.8252,0.0082,0.2376,-0.0788,0.9245,0.0210,0.8252,0.0082
0.8334,0.0068,0.1588,0.0048,0.9455,0.0002,0.8334,0.0068
0.8401,-0.0020,0.1637,0.4251,0.9457,0.0005,0.8401,-0.0020
0.8381,-0.0002,0.5888,0.0946,0.9462,0.0028,0.8381,-0.0002
0.8380,0.0108,0.6834,-0.4754,0.9491,0.0091,0.8380,0.0108
0.8488,0.0078,0.2080,-0.0319,0.9581,0.0146,0.8488,0.0078
0.8565,0.0067,0.1761,-0.0458,0.9727,-0.0193,0.8565,0.0067
0.8632,0.0014,0.1303,-0.0192,0.9534,-0.0009,0.8632,0.0014
0.8646,0.0090,0.1111,0.0854,0.9525,0.0191,0.8646,0.0090
0.8736,0.0098,0.1965,0.1050,0.9716,-0.9716,0.8736,0.0098
0.8834,0.0048,0.3015,0.0725,0.4551,-0.2234,0.8834,0.0048
0.8881,-0.0039,0.3740,-0.1430,0.2317,0.4402,0.8881,-0.0039
0.8842,-0.0026,0.2310,-0.0706,0.6719,-0.6719,0.8842,-0.0026
0.8816,0.0076,0.1604,-0.0134,0.4173,0.1246,0.8816,0.0076
0.8893,0.0106,0.1469,0.0909,0.5419,-0.3390,0.8893,0.0106
0.8999,-0.0125,0.2379,0.1726,0.2029,-0.0097,0.8999,-0.0125
0.8874,0.0044,0.4105,0.3495,0.1932,0.0139,0.8874,0.0044
0.8918,-0.0199,0.7599,-0.1865,0.2072,-0.0031,0.8918,-0.0199
0.8719,-0.0097,0.5734,-0.2716,0.2041,-0.0502,0.8719,-0.0097
0.8622,-0.0018,0.3018,-0.1287,0.1538,-0.0364,0.8622,-0.0018
0.8603,-0.0032,0.1732,0.0194,0.1174,-0.0116,0.8603,-0.0032
0.8571,0.0005,0.1925,-0.0257,0.1058,0.0004,0.8571,0.0005
0.8576,0.0073,0.1668,0.5033,0.1062,0.0096,0.8576,0.0073
0.8649,-0.0209,0.6701,-0.4306,0.1159,0.0234,0.8649,-0.0209
0.8440,-0.0354,0.2395,-0.1015,0.1393,0.0224,0.8440,-0.0354
0.8086,-0.0113,0.1380,-0.0029,0.1617,0.0134,0.8086,-0.0113
0.7973,0.0382,0.1351,0.0820,0.1752,0.0002,0.7973,0.0382
0.8355,-0.0279,0.2171,0.0717,0.1754,0.0053,0.8355,-0.0279
0.8076,-0.0011,0.2888,0.0810,0.1807,0.0265,0.8076,-0.0011
0.8065,0.0233,0.3698,0.0570,0.2072,0.0356,0.8065,0.0233
0.8299,-0.0082,0.4268,0.0867,0.2428,0.0690,0.8299,-0.0082
0.8216,-0.0310,0.5135,0.1359,0.3118,0.0317,0.8216,-0.0310
