Kt*_C_NA_Cha,ΔKt*_C_NA_Cha,Kt*_Cy_NA_Cha,ΔKt*_Cy_NA_Cha,Kt*_I_NA_Cha,ΔKt*_I_NA_Cha,Kt*_AD_NA_Cha,ΔKt*_AD_NA_Cha
0.3020,0.1360,0.0694,0.0315,0.3428,0.0250,0.3020,0.1360
0.4379,0.0980,0.1009,0.0426,0.3678,0.0205,0.4379,0.0980
0.5359,0.0851,0.1435,-0.0006,0.3884,0.0376,0.5359,0.0851
0.6210,0.0199,0.1429,-0.0055,0.4260,0.0423,0.6210,0.0199
0.6409,0.0357,0.1375,-0.0162,0.4682,0.0911,0.6409,0.0357
0.6767,0.0275,0.1213,0.0329,0.5593,-0.0114,0.6767,0.0275
0.7042,0.0164,0.1543,0.0133,0.5480,-0.0772,0.7042,0.0164
0.7206,-0.3015,0.1675,0.0154,0.4708,-0.0326,0.7206,-0.3015
0.4191,-0.0823,0.1829,0.0196,0.4382,-0.0024,0.4191,-0.0823
0.3369,0.0602,0.2025,0.0095,0.4358,-0.0058,0.3369,0.0602
0.3970,0.0225,0.2120,0.0666,0.4300,-0.0114,0.3970,0.0225
0.4196,-0.0175,0.2786,0.0797,0.4186,-0.0035,0.4196,-0.0175
0.4021,0.0308,0.3583,-0.0420,0.4151,0.0453,0.4021,0.0308
0.4329,-0.0493,0.3163,-0.1563,0.4604,0.0512,0.4329,-0.0493
0.3835,0.0768,0.1600,-0.0685,0.5116,0.1126,0.3835,0.0768
0.4603,0.1900,0.0915,-0.0136,0.6243,0.3425,0.4603,0.1900
0.6504,0.2338,0.0779,0.0019,0.9668,-0.2635,0.6504,0.2338
0.8842,-0.3526,0.0799,-0.0056,0.7033,0.0741,0.8842,-0.3526
0.5316,0.1915,0.0742,-0.0106,0.7773,0.0598,0.5316,0.1915
0.7230,-0.0697,0.0637,0.0006,0.8372,-0.0888,0.7230,-0.0697
0.6533,-0.1110,0.0642,0.0079,0.7483,-0.0265,0.6533,-0.1110
0.5423,0.1625,0.0721,0.0276,0.7218,0.1369,0.5423,0.1625
0.7048,0.1689,0.0997,-0.0107,0.8587,0.0134,0.7048,0.1689
0.8738,-0.0173,0.0890,0.1159,0.8721,-0.1250,0.8738,-0.0173
0.8565,0.0418,0.2049,0.0917,0.7471,-0.0428,0.8565,0.0418
0.8983,-0.0091,0.2966,0.0212,0.7043,0.0370,0.8983,-0.0091
0.8892,-0.0139,0.3178,0.0247,0.7414,0.0962,0.8892,-0.0139
0.8753,0.0519,0.3425,-0.0113,0.8376,-0.1343,0.8753,0.0519
0.9272,-0.0748,0.3312,-0.0138,0.7033,0.2567,0.9272,-0.0748
0.8524,0.0194,0.3175,-0.0178,0.9600,-0.0297,0.8524,0.0194
0.8718,0.0003,0.2997,-0.0315,0.9302,-0.0415,0.8718,0.0003
0.8721,0.0655,0.2682,0.0324,0.8887,-0.1236,0.8721,0.0655
0.9377,-0.1542,0.3006,-0.0225,0.7652,0.2427,0.9377,-0.1542
0.7834,0.1374,0.2781,0.1044,1.0079,-0.0888,0.7834,0.1374
0.9208,0.0040,0.3825,0.0667,0.9191,0.0515,0.9208,0.0040
0.9248,-0.0138,0.4492,-0.0634,0.9706,-0.9706,0.9248,-0.0138
0.9110,0.0003,0.3858,0.0195,0.7762,-0.2994,0.9110,0.0003
0.9114,0.0328,0.4053,0.1342,0.4767,0.1389,0.9114,0.0328
0.9442,-0.0625,0.5396,0.2349,0.6156,-0.0117,0.9442,-0.0625
0.8817,-0.2368,0.7745,-0.0766,0.6039,-0.2436,0.8817,-0.2368
0.6449,0.1092,0.6979,-0.1614,0.3603,-0.3603,0.6449,0.1092
0.7541,0.1002,0.5365,-0.0176,0.8746,-0.5320,0.7541,0.1002
0.8543,0.0754,0.5189,-0.1506,0.3426,-0.0484,0.8543,0.0754
0.9296,-0.1218,0.3683,0.3628,0.2942,0.1916,0.9296,-0.1218
0.8078,0.1436,0.7310,-0.1704,0.4858,-0.1663,0.8078,0.1436
0.9513,-0.0598,0.5607,0.3348,0.3195,0.0370,0.9513,-0.0598
0.8915,-0.0036,0.8955,-0.2351,0.3565,0.0205,0.8915,-0.0036
0.8879,0.0910,0.6604,0.2104,0.3771,0.1119,0.8879,0.0910
0.9789,0.0101,0.8708,-0.0173,0.4890,0.1762,0.9789,0.0101
0.9890,-0.0027,0.8535,-0.2469,0.6652,-0.2731,0.9890,-0.0027
0.9863,0.0095,0.6066,-0.6066,0.3922,0.0307,0.9863,0.0095
0.9958,-0.9958,0.7707,-0.3460,0.4228,0.1627,0.9958,-0.9958
0.2814,0.0996,0.4247,0.2297,0.5855,0.1937,0.2814,0.0996
0.3810,0.0299,0.6544,0.2799,0.7793,0.0104,0.3810,0.0299
0.4109,-0.0132,0.9343,-0.3144,0.7897,-0.7897,0.4109,-0.0132
0.3977,0.0386,0.6199,0.0908,0.1894,0.0939,0.3977,0.0386
0.4364,-0.0907,0.7107,0.1030,0.2833,0.0490,0.4364,-0.0907
0.3456,0.0337,0.8138,0.1033,0.3323,0.0439,0.3456,0.0337
0.3794,0.0492,0.9171,0.0427,0.3762,0.0498,0.3794,0.0492
0.4286,0.0611,0.9598,-0.1506,0.4260,0.0559,0.4286,0.0611
0.4896,0.0295,0.8092,-0.1082,0.4819,-0.0947,0.4896,0.0295
0.5191,0.0020,0.7010,-0.0714,0.3872,-0.0836,0.5191,0.0020
0.5211,0.0196,0.6296,0.2698,0.3036,-0.1024,0.5211,0.0196
0.5408,-0.0440,0.8995,-0.8995,0.2013,-0.0010,0.5408,-0.0440
0.4968,-0.0864,0.4596,0.2293,0.2003,0.1215,0.4968,-0.0864
0.4104,0.1709,0.6889,0.1949,0.3218,0.3156,0.4104,0.1709
0.5813,0.0093,0.8838,-0.2692,0.6374,-0.0622,0.5813,0.0093
0.5906,-0.0510,0.6145,0.2365,0.5752,-0.1118,0.5906,-0.0510
0.5396,0.0459,0.8511,0.0363,0.4634,-0.0818,0.5396,0.0459
0.5855,0.0442,0.8873,-0.4243,0.3816,0.0698,0.5855,0.0442
0.6297,0.1018,0.4630,0.1554,0.4514,-0.0981,0.6297,0.1018
0.7314,0.0250,0.6184,0.2438,0.3533,-0.0477,0.7314,0.0250
0.7564,0.0216,0.8622,-0.0081,0.3056,0.1591,0.7564,0.0216
0.7780,-0.0799,0.8542,-0.2426,0.4648,0.0310,0.7780,-0.0799
0.6981,0.0918,0.6116,0.1628,0.4958,0.1555,0.6981,0.0918
0.7899,-0.0076,0.7744,-0.3435,0.6513,-0.1249,0.7899,-0.0076
0.7823,0.0083,0.4308,0.2794,0.5264,-0.0577,0.7823,0.0083
0.7906,-0.0003,0.7102,-0.1316,0.4687,0.1865,0.7906,-0.0003
0.7903,0.0082,0.5786,-0.1525,0.6553,-0.0134,0.7903,0.0082
0.7985,-0.0241,0.4262,-0.0358,0.6419,0.0752,0.7985,-0.0241
0.7745,-0.0144,0.3904,0.2078,0.7171,-0.0388,0.7745,-0.0144
0.7600,0.0460,0.5981,0.4117,0.6784,0.1684,0.7600,0.0460
0.8060,0.0341,1.0099,-0.4140,0.8468,-0.0218,0.8060,0.0341
0.8401,-0.0205,0.5959,-0.0996,0.8250,0.0056,0.8401,-0.0205
0.8196,0.0374,0.4963,-0.2445,0.8307,0.0141,0.8196,0.0374
0.8570,-0.2089,0.2518,-0.0166,0.8447,-0.0118,0.8570,-0.2089
0.6481,0.1014,0.2352,-0.0737,0.8329,0.0056,0.6481,0.1014
0.7495,0.0401,0.1614,0.1090,0.8385,-0.0322,0.7495,0.0401
0.7895,-0.0261,0.2704,-0.0328,0.8063,-0.0657,0.7895,-0.0261
0.7635,0.0019,0.2376,-0.1135,0.7407,0.0434,0.7635,0.0019
0.7654,0.0160,0.1241,0.0011,0.7841,0.0524,0.7654,0.0160
0.7814,-0.0486,0.1251,0.0492,0.8365,-0.0112,0.7814,-0.0486
0.7328,0.0728,0.1744,-0.1045,0.8252,-0.0336,0.7328,0.0728
0.8055,-0.0186,0.0699,-0.0216,0.7916,0.0104,0.8055,-0.0186
0.7869,0.0242,0.0483,-0.0136,0.8020,-0.0108,0.7869,0.0242
0.8112,0.0039,0.0346,-0.0019,0.7912,0.0387,0.8112,0.0039
0.8150,0.0064,0.0327,-0.0175,0.8299,0.0164,0.8150,0.0064
0.8214,-0.0099,0.0152,0.0141,0.8462,-0.0322,0.8214,-0.0099
0.8115,0.0197,0.0293,-0.0023,0.8140,0.0241,0.8115,0.0197
0.8312,-0.0225,0.0271,-0.0073,0.8381,-0.1800,0.8312,-0.0225
0.8087,0.0090,0.0198,-0.0053,0.6581,0.0279,0.8087,0.0090
0.8178,0.0015,0.0146,0.0235,0.6859,-0.0785,0.8178,0.0015
0.8192,-0.0130,0.0380,0.0435,0.6075,-0.1028,0.8192,-0.0130
0.8063,-0.0267,0.0816,-0.0059,0.5047,0.0240,0.8063,-0.0267
0.7796,0.0191,0.0756,0.0200,0.5287,0.1269,0.7796,0.0191
0.7986,-0.0001,0.0956,0.0176,0.6556,-0.0083,0.7986,-0.0001
0.7985,-0.0026,0.1132,0.0584,0.6473,0.0456,0.7985,-0.0026
0.7959,-0.0184,0.1716,-0.0110,0.6929,0.1784,0.7959,-0.0184
0.7775,-0.0054,0.1606,-0.0070,0.8713,-0.1700,0.7775,-0.0054
0.7721,-0.0030,0.1536,-0.0023,0.7013,0.2252,0.7721,-0.0030
0.7692,0.0120,0.1513,0.0145,0.9265,-0.0426,0.7692,0.0120
0.7811,0.0247,0.1658,0.0247,0.8839,-0.1621,0.7811,0.0247
0.8059,0.0123,0.1905,0.0233,0.7218,0.0380,0.8059,0.0123
0.8182,0.0076,0.2138,0.0074,0.7598,0.0432,0.8182,0.0076
0.8258,0.0217,0.2212,0.0070,0.8031,0.0020,0.8258,0.0217
0.8474,0.0165,0.2283,0.0437,0.8051,0.0542,0.8474,0.0165
0.8640,0.0161,0.2720,0.0208,0.8593,-0.0097,0.8640,0.0161
0.8801,0.0329,0.2928,-0.0036,0.8496,-0.0060,0.8801,0.0329
0.9130,0.0311,0.2892,-0.0150,0.8435,-0.0200,0.9130,0.0311
0.9441,-0.9441,0.2742,0.0070,0.8235,0.0279,0.9441,-0.9441
0.2639,-0.1067,0.2812,0.0164,0.8514,0.0485,0.2639,-0.1067
0.1572,-0.0332,0.2976,0.0338,0.8998,0.0445,0.1572,-0.0332
0.1240,-0.0103,0.3314,0.1021,0.9443,-0.9443,0.1240,-0.0103
0.1137,0.0196,0.4335,0.0724,0.2460,0.1609,0.1137,0.0196
0.1333,0.2606,0.5059,0.0378,0.4070,0.1081,0.1333,0.2606
0.3940,0.2523,0.5437,0.0016,0.5150,0.1081,0.3940,0.2523
0.6462,0.0284,0.5454,-0.0053,0.6231,0.0339,0.6462,0.0284
0.6746,0.0301,0.5400,-0.0105,0.6570,0.0442,0.6746,0.0301
0.7047,0.0391,0.5295,0.0105,0.7012,-0.0296,0.7047,0.0391
0.7438,0.0502,0.5400,0.0214,0.6716,0.0458,0.7438,0.0502
0.7940,-0.0067,0.5614,-0.0069,0.7174,-0.0801,0.7940,-0.0067
0.7872,-0.2146,0.5545,-0.0457,0.6372,-0.2432,0.7872,-0.2146
0.5726,-0.0236,0.5088,0.1775,0.3940,-0.0346,0.5726,-0.0236
0.5490,0.2167,0.6864,0.0401,0.3594,-0.1354,0.5490,0.2167
0.7657,0.0377,0.7265,0.0587,0.2240,-0.0187,0.7657,0.0377
0.8034,-0.2065,0.7851,-0.7851,0.2053,0.0480,0.8034,-0.2065
0.5969,-0.0228,0.3668,-0.0238,0.2533,0.0256,0.5969,-0.0228
0.5741,0.1701,,,0.2790,0.0287,0.5741,0.1701
0.7442,0.0504,,,0.3077,0.1693,0.7442,0.0504
0.7947,0.0006,,,0.4770,0.1135,0.7947,0.0006
0.7952,-0.0172,,,0.5905,-0.0111,0.7952,-0.0172
0.7781,-0.0071,,,0.5794,-0.2573,0.7781,-0.0071
0.7709,-0.0002,,,0.3221,-0.1016,0.7709,-0.0002
0.7707,-0.0048,,,0.2206,0.2082,0.7707,-0.0048
0.7660,0.0018,,,0.4288,-0.0957,0.7660,0.0018
0.7678,-0.0024,,,0.3331,0.3047,0.7678,-0.0024
0.7654,0.0079,,,0.6378,0.0493,0.7654,0.0079
0.7733,0.0035,,,0.6871,-0.2771,0.7733,0.0035
0.7768,-0.0036,,,0.4099,0.0286,0.7768,-0.0036
0.7732,-0.0029,,,0.4385,0.1463,0.7732,-0.0029
0.7703,0.0004,,,0.5848,0.1058,0.7703,0.0004
0.7707,0.0017,,,0.6907,0.1568,0.7707,0.0017
0.7724,0.0060,,,0.8475,-0.2454,0.7724,0.0060
0.7784,0.0072,,,0.6020,0.0008,0.7784,0.0072
0.7857,0.0054,,,0.6029,-0.1727,0.7857,0.0054
0.7911,0.0051,,,0.4301,0.3149,0.7911,0.0051
0.7962,0.0064,,,0.7451,-0.1439,0.7962,0.0064
0.8026,-0.0015,,,0.6011,0.0752,0.8026,-0.0015
0.8011,0.0131,,,0.6763,-0.1377,0.8011,0.0131
0.8142,0.0152,,,0.5386,0.2313,0.8142,0.0152
0.8294,0.0114,,,0.7699,0.0924,0.8294,0.0114
0.8408,0.0030,,,0.8623,0.0831,0.8408,0.0030
0.8438,-0.0147,,,0.9453,-0.1272,0.8438,-0.0147
0.8291,0.0046,,,0.8181,-0.0973,0.8291,0.0046
0.8337,0.0141,,,0.7208,0.0407,0.8337,0.0141
0.8478,-0.0129,,,0.7615,0.1696,0.8478,-0.0129
0.8349,-0.0003,,,0.9311,-0.9311,0.8349,-0.0003
0.8347,-0.0006,,,0.9043,-0.0451,0.8347,-0.0006
0.8341,-0.0002,,,0.8592,0.1281,0.8341,-0.0002
0.8339,-0.0063,,,0.9873,-0.0357,0.8339,-0.0063
0.8275,-0.0739,,,0.9517,0.0139,0.8275,-0.0739
0.7536,-0.0831,,,0.9656,0.0242,0.7536,-0.0831
0.6705,-0.2023,,,0.9898,0.0192,0.6705,-0.2023
0.4682,0.2582,,,1.0090,-0.0129,0.4682,0.2582
0.7264,0.1169,,,0.9961,-0.0244,0.7264,0.1169
0.8433,0.0508,,,0.9717,0.0330,0.8433,0.0508
0.8941,-0.0355,,,1.0047,-0.0115,0.8941,-0.0355
0.8586,-0.0149,,,0.9932,-0.1496,0.8586,-0.0149
0.8437,-0.0138,,,0.8436,0.0905,0.8437,-0.0138
0.8299,-0.0065,,,0.9341,0.0627,0.8299,-0.0065
0.8234,-0.0287,,,0.9968,-0.9968,0.8234,-0.0287
0.7947,0.0078,,,0.9824,-0.9824,0.7947,0.0078
0.8025,0.0095,,,0.0270,0.0246,0.8025,0.0095
0.8120,0.0158,,,0.0516,-0.0034,0.8120,0.0158
0.8278,0.0437,,,0.0482,0.0054,0.8278,0.0437
0.8715,-0.0057,,,0.0536,0.0205,0.8715,-0.0057
0.8658,0.0336,,,0.0741,0.0334,0.8658,0.0336
0.8995,-0.8995,,,0.1075,0.0218,0.8995,-0.8995
0.5635,0.0611,,,0.1292,-0.0227,0.5635,0.0611
0.6246,0.0020,,,0.1065,-0.0043,0.6246,0.0020
0.6266,0.0395,,,0.1022,0.0072,0.6266,0.0395
0.6661,0.0416,,,0.1094,0.0498,0.6661,0.0416
0.7077,-0.0484,,,0.1592,0.0541,0.7077,-0.0484
0.6592,-0.0376,,,0.2133,-0.0182,0.6592,-0.0376
0.6217,0.0660,,,0.1951,-0.0371,0.6217,0.0660
0.6877,-0.2517,,,0.1580,-0.0059,0.6877,-0.2517
0.4359,0.1411,,,0.1522,-0.0147,0.4359,0.1411
0.5770,0.2102,,,0.1375,-0.0269,0.5770,0.2102
0.7873,-0.0261,,,0.1105,0.0377,0.7873,-0.0261
0.7612,-0.0245,,,0.1483,-0.0516,0.7612,-0.0245
0.7367,0.1001,,,0.0967,0.1215,0.7367,0.1001
0.8367,-0.0850,,,0.2182,-0.1011,0.8367,-0.0850
0.7518,0.1497,,,0.1170,0.0253,0.7518,0.1497
0.9015,-0.2146,,,0.1424,0.1308,0.9015,-0.2146
0.6869,-0.1764,,,0.2732,-0.0489,0.6869,-0.1764
0.5105,0.0532,,,0.2243,-0.0047,0.5105,0.0532
0.5636,-0.0519,,,0.2196,0.0084,0.5636,-0.0519
0.5118,-0.0660,,,0.2280,0.0197,0.5118,-0.0660
0.4458,0.0643,,,0.2477,0.0421,0.4458,0.0643
0.5102,0.0677,,,0.2898,0.0670,0.5102,0.0677
0.5778,0.1389,,,0.3568,-0.0499,0.5778,0.1389
0.7167,-0.2071,,,0.3069,0.0538,0.7167,-0.2071
0.5096,-0.0525,,,0.3607,0.2223,0.5096,-0.0525
0.4571,-0.0127,,,0.5829,-0.1866,0.4571,-0.0127
0.4444,0.1157,,,0.3964,-0.0251,0.4444,0.1157
0.5601,0.1922,,,0.3713,0.0695,0.5601,0.1922
0.7523,-0.3013,,,0.4408,0.1139,0.7523,-0.3013
0.4511,0.0689,,,0.5547,-0.1006,0.4511,0.0689
0.5200,0.1516,,,0.4541,0.1506,0.5200,0.1516
0.6717,-0.1675,,,0.6047,0.2201,0.6717,-0.1675
0.5042,0.2308,,,0.8247,-0.1701,0.5042,0.2308
0.7350,-0.7350,,,0.6546,0.0921,0.7350,-0.7350
0.8038,-0.0201,,,0.7467,-0.2208,0.8038,-0.0201
0.7838,0.1948,,,0.5259,0.2088,0.7838,0.1948
0.9786,-0.9786,,,0.7347,0.0872,0.9786,-0.9786
0.8181,-0.1675,,,0.8219,-0.0860,0.8181,-0.1675
0.6506,0.3077,,,0.7359,0.2263,0.6506,0.3077
0.9583,-0.0590,,,0.9622,-0.1701,0.9583,-0.0590
0.8993,-0.8993,,,0.7921,-0.7921,0.8993,-0.8993
0.8539,0.1382,,,0.7046,0.2038,0.8539,0.1382
0.9921,-0.0944,,,0.9084,-0.0170,0.9921,-0.0944
0.8977,-0.8977,,,0.8914,-0.8914,0.8977,-0.8977
0.8236,0.1452,,,0.6515,-0.6515,0.8236,0.1452
0.9689,-0.9689,,,0.7928,-0.2173,0.9689,-0.9689
0.6806,0.0092,,,0.5755,0.0556,0.6806,0.0092
0.6898,0.0133,,,0.6311,0.0484,0.6898,0.0133
0.7031,0.0159,,,0.6795,-0.1499,0.7031,0.0159
0.7190,0.0205,,,0.5295,0.2299,0.7190,0.0205
0.7395,0.0298,,,0.7595,-0.1724,0.7395,0.0298
0.7692,0.0226,,,0.5871,-0.0277,0.7692,0.0226
0.7918,0.0203,,,0.5594,0.0790,0.7918,0.0203
0.8122,0.0173,,,0.6384,0.0671,0.8122,0.0173
0.8294,-0.0068,,,0.7055,0.1611,0.8294,-0.0068
0.8227,-0.0992,,,0.8666,0.0740,0.8227,-0.0992
0.7235,-0.0405,,,0.9406,-0.2201,0.7235,-0.0405
0.6829,0.0885,,,0.7204,-0.0101,0.6829,0.0885
0.7715,0.0978,,,0.7103,-0.0468,0.7715,0.0978
0.8693,0.0166,,,0.6635,-0.6635,0.8693,0.0166
0.8859,-0.0112,,,0.7737,0.0368,0.8859,-0.0112
0.8746,-0.0486,,,0.8106,0.0487,0.8746,-0.0486
0.8260,-0.0180,,,0.8593,0.0223,0.8260,-0.0180
0.8080,-0.1180,,,0.8816,-0.0483,0.8080,-0.1180
0.6900,0.2281,,,0.8333,0.0724,0.6900,0.2281
0.9181,0.0073,,,0.9057,-0.0295,0.9181,0.0073
0.9254,-0.1842,,,0.8762,0.0020,0.9254,-0.1842
0.7412,0.1019,,,0.8782,0.0482,0.7412,0.1019
0.8432,-0.0995,,,0.9264,0.0054,0.8432,-0.0995
0.7436,0.0549,,,0.9319,0.0038,0.7436,0.0549
0.7986,-0.1030,,,0.9357,0.0029,0.7986,-0.1030
0.6956,-0.2212,,,0.9386,0.0054,0.6956,-0.2212
0.4744,0.3442,,,0.9441,-0.0048,0.4744,0.3442
0.8187,-0.0971,,,0.9392,0.0061,0.8187,-0.0971
0.7216,0.0437,,,0.9454,0.0026,0.7216,0.0437
0.7653,-0.1023,,,0.9480,-0.0007,0.7653,-0.1023
0.6630,-0.3158,,,0.9473,0.0029,0.6630,-0.3158
0.3473,0.5091,,,0.9502,0.0049,0.3473,0.5091
0.8564,-0.4544,,,0.9552,0.0036,0.8564,-0.4544
0.4020,0.3031,,,0.9587,0.0104,0.4020,0.3031
0.7051,-0.4151,,,0.9691,0.0134,0.7051,-0.4151
0.2900,0.6175,,,0.9825,0.0069,0.2900,0.6175
0.9075,-0.4544,,,0.9894,-0.0053,0.9075,-0.4544
0.4531,0.0601,,,0.9841,0.0249,0.4531,0.0601
0.5132,0.4923,,,1.0090,-1.0090,0.5132,0.4923
0.7311,0.0069,,,0.8507,-0.8507,0.7311,0.0069
0.7380,-0.0808,,,0.9406,-0.6598,0.7380,-0.0808
0.6572,-0.2853,,,0.2808,-0.0764,0.6572,-0.2853
0.3718,-0.3718,,,0.2044,0.2059,0.3718,-0.3718
0.6307,-0.1708,,,0.4103,0.1163,0.6307,-0.1708
0.4599,0.5289,,,0.5266,0.1379,0.4599,0.5289
0.9888,-0.0855,,,0.6645,-0.0811,0.9888,-0.0855
0.9033,0.0366,,,0.5834,-0.3156,0.9033,0.0366
0.9399,-0.3502,,,0.2678,-0.0479,0.9399,-0.3502
0.5897,0.1858,,,0.2199,0.3356,0.5897,0.1858
0.7755,-0.7755,,,0.5556,0.4147,0.7755,-0.7755
0.5070,-0.0310,,,0.9703,-0.1454,0.5070,-0.0310
0.4760,-0.1125,,,0.8249,-0.4560,0.4760,-0.1125
0.3635,-0.0358,,,0.3689,0.0479,0.3635,-0.0358
0.3277,-0.0425,,,0.4168,0.0218,0.3277,-0.0425
0.2852,0.0968,,,0.4386,0.5133,0.2852,0.0968
0.3820,0.1687,,,0.9519,-0.9519,0.3820,0.1687
0.5507,-0.1280,,,0.5395,-0.0580,0.5507,-0.1280
0.4227,-0.0079,,,0.4815,0.1113,0.4227,-0.0079
0.4148,-0.1703,,,0.5928,-0.5928,0.4148,-0.1703
0.2444,0.0049,,,0.6396,-0.3790,0.2444,0.0049
0.2493,0.1079,,,0.2605,-0.0598,0.2493,0.1079
0.3573,-0.1033,,,0.2007,0.0175,0.3573,-0.1033
0.2540,0.0026,,,0.2182,0.0117,0.2540,0.0026
0.2566,0.0247,,,0.2298,0.0897,0.2566,0.0247
0.2813,0.1965,,,0.3195,0.0680,0.2813,0.1965
0.4778,0.3271,,,0.3875,-0.0352,0.4778,0.3271
0.8049,-0.2230,,,0.3522,-0.0279,0.8049,-0.2230
0.5819,0.0668,,,0.3243,-0.0561,0.5819,0.0668
0.6487,0.0162,,,0.2682,-0.0301,0.6487,0.0162
0.6649,-0.1345,,,0.2381,0.0282,0.6649,-0.1345
0.5305,0.2659,,,0.2663,0.0318,0.5305,0.2659
0.7964,-0.3537,,,0.2981,0.0859,0.7964,-0.3537
0.4427,0.0004,,,0.3840,-0.3840,0.4427,0.0004
0.4430,-0.0815,,,0.8665,-0.0536,0.4430,-0.0815
0.3616,-0.0476,,,0.8129,0.0131,0.3616,-0.0476
0.3139,-0.0401,,,0.8259,-0.4310,0.3139,-0.0401
0.2738,0.0717,,,0.3949,0.1616,0.2738,0.0717
0.3455,0.0111,,,0.5565,0.1771,0.3455,0.0111
0.3566,-0.1224,,,0.7336,-0.2737,0.3566,-0.1224
0.2342,-0.1145,,,0.4599,-0.0531,0.2342,-0.1145
0.1197,-0.0413,,,0.4068,0.0010,0.1197,-0.0413
0.0784,-0.0080,,,0.4078,-0.0607,0.0784,-0.0080
0.0704,0.0098,,,0.3470,0.0240,0.0704,0.0098
0.0802,0.0233,,,0.3711,0.1923,0.0802,0.0233
0.1035,0.0306,,,0.5634,-0.5634,0.1035,0.0306
0.1341,0.0319,,,0.8717,0.0283,0.1341,0.0319
0.1660,-0.0381,,,0.9000,0.0165,0.1660,-0.0381
0.1279,0.0969,,,0.9165,0.0558,0.1279,0.0969
0.2249,0.2887,,,0.9723,0.0174,0.2249,0.2887
0.5135,-0.5135,,,0.9897,0.0053,0.5135,-0.5135
0.8152,-0.3799,,,0.9949,-0.9949,0.8152,-0.3799
0.4354,-0.0341,,,0.7941,0.1680,0.4354,-0.0341
0.4013,0.1428,,,0.9621,-0.9621,0.4013,0.1428
0.5441,0.1716,,,0.7673,-0.7673,0.5441,0.1716
0.7157,-0.2722,,,0.3598,0.2196,0.7157,-0.2722
0.4435,0.1778,,,0.5794,0.2744,0.4435,0.1778
0.6213,-0.1033,,,0.8538,-0.8538,0.6213,-0.1033
0.5180,0.0418,,,0.7751,-0.0425,0.5180,0.0418
0.5598,0.2169,,,0.7326,0.2355,0.5598,0.2169
0.7767,0.0760,,,0.9680,-0.0005,0.7767,0.0760
0.8528,-0.3765,,,0.9675,-0.9675,0.8528,-0.3765
0.4763,-0.2392,,,0.7858,-0.0064,0.4763,-0.2392
0.2371,-0.0818,,,0.7795,-0.7795,0.2371,-0.0818
0.1553,0.0811,,,0.9098,-0.5025,0.1553,0.0811
0.2364,0.0786,,,0.4074,-0.1559,0.2364,0.0786
0.3150,0.0254,,,0.2515,-0.0247,0.3150,0.0254
0.3403,0.1931,,,0.2268,-0.0216,0.3403,0.1931
0.5334,0.3128,,,0.2052,-0.1133,0.5334,0.3128
0.8462,-0.1509,,,0.0919,-0.0501,0.8462,-0.1509
0.6954,-0.0771,,,0.0419,-0.0216,0.6954,-0.0771
0.6182,-0.1011,,,0.0203,-0.0040,0.6182,-0.1011
0.5171,0.0430,,,0.0163,-0.0074,0.5171,0.0430
0.5601,0.3517,,,0.0089,-0.0031,0.5601,0.3517
0.9118,-0.9118,,,0.0058,-0.0025,0.9118,-0.9118
0.6968,-0.0247,,,0.0033,-0.0002,0.0034,0.0231
,,,,0.0031,-0.0028,0.0265,0.0308
,,,,0.0003,-0.0003,0.0574,-0.0287
,,,,0.0006,0.0077,0.0287,-0.0027
,,,,0.0083,0.0045,0.0260,-0.0112
,,,,0.0128,0.0049,0.0148,0.0062
,,,,0.0176,0.0026,0.0210,0.0152
,,,,0.0202,-0.0202,0.0362,0.0297
,,,,0.3178,0.0322,0.0659,-0.0102
,,,,0.3500,-0.0445,0.0557,-0.0214
,,,,0.3055,-0.0355,0.0343,0.0190
,,,,0.2700,-0.0921,0.0533,0.0300
,,,,0.1779,-0.0016,0.0833,0.0537
,,,,0.1762,0.0083,0.1370,0.0065
,,,,0.1845,0.0613,0.1435,0.0481
,,,,0.2459,0.0111,0.1916,0.1070
,,,,0.2570,0.0543,0.2986,0.0111
,,,,0.3113,-0.0658,0.3097,0.0565
,,,,0.2455,-0.0213,0.3662,-0.0319
,,,,0.2242,0.0886,0.3343,0.0341
,,,,0.3129,0.1044,0.3684,-0.0393
,,,,0.4173,-0.0669,0.3292,-0.1350
,,,,0.3503,0.1828,0.1942,-0.0860
,,,,0.5332,-0.1745,0.1082,-0.0016
,,,,0.3587,-0.0363,0.1065,0.0276
,,,,0.3224,0.1089,0.1341,-0.0051
,,,,0.4313,-0.1404,0.1290,0.0244
,,,,0.2908,-0.0249,0.1534,-0.0334
,,,,0.2659,0.0761,0.1200,-0.0171
,,,,0.3420,-0.0714,0.1028,0.0035
,,,,0.2706,-0.0561,0.1063,0.0056
,,,,0.2145,0.0444,0.1119,0.0357
,,,,0.2589,-0.0628,0.1475,0.0230
,,,,0.1961,0.0671,0.1706,-0.0037
,,,,0.2632,0.0902,0.1669,0.1028
,,,,0.3533,-0.0184,0.2696,0.0909
,,,,0.3349,-0.1534,0.3605,0.0479
,,,,0.1815,0.1042,0.4084,0.1603
,,,,0.2858,0.0133,0.5688,0.2106
,,,,0.2990,0.2070,0.7794,-0.3463
,,,,0.5061,0.3925,0.4331,0.0513
,,,,0.8986,-0.2982,0.4843,-0.0092
,,,,0.6004,-0.0167,0.4751,-0.0873
