Kt*_C_A_Nzi,ΔKt*_C_A_Nzi,Kt*_Cy_A_Nzi,ΔKt*_Cy_A_Nzi,Kt*_I_A_Nzi,ΔKt*_I_A_Nzi,Kt*_AD_A_Nzi,ΔKt*_AD_A_Nzi
0.9549,-0.0065,0.7383,0.0213,0.7155,-0.0226,0.9549,-0.0065
0.9484,-0.0238,0.7597,0.1150,0.6930,-0.0359,0.9484,-0.0238
0.9247,-0.0153,0.8747,-0.0112,0.6571,-0.0359,0.9247,-0.0153
0.9094,-0.0057,0.8635,0.0078,0.6212,-0.0163,0.9094,-0.0057
0.9037,-0.0474,0.8713,0.0355,0.6048,-0.0175,0.9037,-0.0474
0.8563,-0.0646,0.9068,-0.0137,0.5873,-0.0165,0.8563,-0.0646
0.7917,0.0099,0.8931,0.0045,0.5708,-0.0354,0.7917,0.0099
0.8016,-0.0038,0.8976,-0.0721,0.5354,-0.0637,0.8016,-0.0038
0.7978,0.0086,0.8255,-0.0677,0.4717,-0.0667,0.7978,0.0086
0.8064,-0.0250,0.7577,-0.0194,0.4050,-0.0876,0.8064,-0.0250
0.7815,-0.0285,0.7383,0.1276,0.3174,-0.0860,0.7815,-0.0285
0.7529,-0.0324,0.8659,-0.0074,0.2314,-0.0839,0.7529,-0.0324
0.7205,-0.0549,0.8585,-0.0067,0.1475,-0.0617,0.7205,-0.0549
0.6656,-0.1043,0.8518,-0.0642,0.0858,-0.0407,0.6656,-0.1043
0.5614,-0.1356,0.7876,-0.0495,0.0451,-0.0451,0.5614,-0.1356
0.4258,-0.1607,0.7381,0.0371,0.9632,-0.1726,0.4258,-0.1607
0.2651,-0.1077,0.7752,-0.0037,0.7906,-0.0985,0.2651,-0.1077
0.1575,-0.0658,0.7715,-0.0186,0.6921,0.0350,0.1575,-0.0658
0.0917,-0.0917,0.7528,-0.0237,0.7271,0.0219,0.0917,-0.0917
0.6939,-0.6939,0.7292,-0.0409,0.7490,0.0429,0.6939,-0.6939
0.9993,-0.0025,0.6882,-0.0791,0.7919,-0.0994,0.9993,-0.0025
0.9968,-0.0051,0.6091,-0.0580,0.6925,-0.0260,0.9968,-0.0051
0.9917,0.0010,0.5511,-0.0323,0.6665,0.2877,0.9917,0.0010
0.9927,0.0024,0.5188,-0.0288,0.9542,-0.0758,0.9927,0.0024
0.9951,0.0006,0.4900,-0.0285,0.8784,-0.8784,0.9951,0.0006
0.9957,-0.0020,0.4615,-0.0475,0.8386,-0.0760,0.9957,-0.0020
0.9936,-0.0013,0.4140,-0.0312,0.7626,-0.7626,0.9936,-0.0013
0.9923,-0.0010,0.3828,-0.0537,0.9990,-0.2648,0.9923,-0.0010
0.9914,0.0006,0.3291,-0.0894,0.7342,0.2685,0.9914,0.0006
0.9871,0.0008,0.1889,-0.0679,0.8164,0.1690,0.9871,0.0008
