Kt*_C_A_Nzi,ΔKt*_C_A_Nzi,Kt*_Cy_A_Nzi,ΔKt*_Cy_A_Nzi,Kt*_I_A_Nzi,ΔKt*_I_A_Nzi,Kt*_AD_A_Nzi,ΔKt*_AD_A_Nzi
0.9455,-0.0027,0.7212,-0.0877,0.5384,0.0696,0.9455,-0.0027
0.9428,-0.0016,0.6335,0.0935,0.6080,-0.0282,0.9428,-0.0016
0.9412,-0.0027,0.7270,-0.0837,0.5798,-0.0379,0.9412,-0.0027
0.9385,-0.0014,0.6433,-0.0670,0.5419,0.0307,0.9385,-0.0014
0.9372,-0.0036,0.5764,0.2082,0.5726,0.0796,0.9372,-0.0036
0.9336,-0.0004,0.7846,0.1267,0.6522,0.0445,0.9336,-0.0004
0.9332,0.0007,0.9113,-0.4333,0.6967,0.1145,0.9332,0.0007
0.9339,0.0003,0.4780,0.0286,0.8111,-0.0548,0.9339,0.0003
0.9342,-0.0121,0.5066,0.2718,0.7564,0.2168,0.9342,-0.0121
0.9221,-0.0240,0.7784,-0.0089,0.9732,-0.1185,0.9221,-0.0240
0.8981,-0.0162,0.7694,-0.2362,0.8547,0.1263,0.8981,-0.0162
0.8819,-0.0374,0.5333,0.1607,0.9810,-0.9810,0.8819,-0.0374
0.8445,-0.0426,0.6939,-0.1433,0.9342,-0.9342,0.8445,-0.0426
0.8018,-0.0525,0.5506,0.3879,0.9789,-0.9789,0.8018,-0.0525
0.6327,-0.1646,0.7575,-0.2115,0.9808,0.0006,0.6327,-0.1646
0.4681,-0.1598,0.5460,0.2145,0.9814,0.0063,0.4681,-0.1598
0.8634,-0.0727,0.7604,0.0295,0.9877,-0.0063,0.9896,-0.0515
0.2055,0.2268,0.7532,-0.1696,0.9881,-0.0091,0.9335,-0.0172
,,0.9852,-0.0774,0.9790,-0.0035,0.9164,-0.0161
,,0.9078,-0.4488,0.9755,0.0008,0.9002,0.0030
,,0.4590,0.1074,0.9763,-0.0112,0.9033,-0.0042
,,0.5663,0.1773,0.9650,0.0049,0.8990,-0.0239
,,0.7436,-0.3038,0.9699,0.0056,0.8752,-0.0041
,,0.4398,-0.2819,0.9755,-0.0084,0.8710,-0.0019
,,0.1579,0.0417,0.9671,0.0002,0.8691,0.0005
,,0.1996,0.4657,0.9673,-0.0079,0.8696,-0.0078
,,0.6653,0.2233,0.9594,-0.0101,0.8618,-0.0003
,,0.8886,-0.7066,0.9493,-0.0062,0.8616,-0.0046
,,0.1820,0.3521,0.9431,-0.0055,0.8569,0.0002
,,0.5342,-0.0954,0.9376,-0.0056,0.8571,0.0063
,,0.4388,-0.0175,0.9320,-0.0156,0.8635,0.0064
,,0.4213,-0.0939,0.9163,-0.0324,0.8698,0.0045
,,0.3274,-0.0115,0.8839,0.0006,0.8743,-0.0020
,,0.3159,0.0327,0.8845,-0.0173,0.8723,-0.0007
,,0.3486,0.0575,0.8672,-0.0175,0.8715,-0.0116
,,0.4061,0.3988,0.8497,-0.0334,0.8599,-0.0125
,,0.8049,0.0278,0.8163,-0.0293,0.8474,0.0022
,,0.8327,0.0403,0.7870,-0.0153,0.8496,-0.0037
,,0.8730,-0.0134,0.7717,-0.0291,0.8460,0.0056
,,0.8596,-0.8596,0.7426,-0.0166,0.8516,-0.0044
,,0.7475,0.1931,0.7259,-0.0267,0.8472,-0.0017
,,0.9406,-0.9406,0.6993,-0.0374,0.8454,-0.0065
,,0.9011,-0.9011,0.6618,-0.0401,0.8389,-0.0027
,,0.9202,-0.4051,0.6217,-0.0589,0.8362,-0.0052
,,0.5151,0.4065,0.5629,-0.0554,0.8310,0.0062
,,0.9216,0.0669,0.5074,-0.0669,0.8373,0.0038
,,0.9885,0.0049,0.4406,-0.1007,0.8411,-0.0073
,,0.9934,-0.4692,0.3399,-0.1120,0.8338,-0.0036
,,0.5242,0.0913,0.2279,-0.0980,0.8302,0.0008
,,0.6155,0.3839,0.1299,-0.0786,0.8310,-0.0079
,,0.9994,-0.0475,0.0513,-0.0513,0.8230,-0.0162
,,0.9518,-0.3224,0.5879,0.2051,0.8068,0.0029
,,0.6295,0.0314,0.7930,-0.7930,0.8097,0.0002
,,0.6609,0.3285,0.9382,-0.9382,0.8099,-0.0090
,,0.9894,-0.0091,0.9951,-0.9951,0.8009,-0.0162
,,0.9803,0.0286,0.9482,0.0318,0.7847,-0.0057
,,0.9727,0.0188,0.9221,-0.9221,0.7779,-0.0131
,,0.9408,0.0164,0.9898,-0.0049,0.7353,-0.0219
,,0.9573,0.0149,0.9849,-0.0182,0.7134,-0.0051
,,0.9721,0.0180,0.9666,-0.0239,0.7082,-0.0115
,,0.9902,-0.0068,0.9428,-0.0188,0.6967,-0.0164
,,0.9834,-0.0180,0.9240,-0.0318,0.6804,-0.0198
,,0.9654,-0.0721,0.8922,-0.0838,0.6606,-0.0090
,,0.8933,0.0827,0.8084,-0.2024,0.6516,-0.0196
,,0.9759,-0.0089,0.6060,-0.2247,0.6320,-0.0183
,,0.9670,0.0173,0.3813,-0.1809,0.6137,-0.0156
,,0.9844,-0.0487,0.2004,-0.0681,0.5981,-0.0192
,,0.9357,0.0570,0.1323,-0.1323,0.5789,-0.0280
,,0.9927,-0.0725,0.6675,-0.6675,0.5509,-0.0452
,,0.9202,-0.1161,0.9856,-0.9856,0.5057,-0.0492
,,0.8041,-0.0460,0.9943,0.0008,0.4565,-0.0462
,,0.7581,0.2139,0.9951,-0.0161,0.4104,-0.0467
,,0.9720,-0.0825,0.9790,-0.0370,0.3636,-0.0636
,,0.8895,0.0580,0.9420,-0.0258,0.3000,-0.0737
,,0.9475,-0.2462,0.9162,0.0102,0.2263,-0.0805
,,0.7013,-0.7013,0.9264,-0.0146,0.1458,-0.0661
,,0.7228,-0.3168,0.9118,-0.0099,0.0797,-0.0417
,,0.4059,-0.1019,0.9019,-0.0195,0.0380,-0.0380
,,0.3040,-0.0007,0.8823,-0.0379,0.9412,-0.9412
,,0.3070,0.0076,0.6737,-0.0764,0.9754,0.0063
,,0.3147,0.0579,0.5972,-0.1728,0.9817,0.0047
,,0.3726,0.0115,0.4244,-0.2453,0.9864,0.0033
,,0.3841,-0.0800,0.1791,-0.0758,0.9897,-0.0113
,,0.3041,0.0040,0.1033,-0.1033,0.9785,-0.0053
,,0.3081,-0.0514,0.7212,0.0294,0.9732,-0.0114
,,0.2567,0.1822,0.7506,0.0989,0.9618,-0.0019
,,0.4389,0.5578,0.8496,0.1530,0.9599,0.0017
,,0.7045,-0.1391,0.7520,-0.7520,0.9482,-0.0061
,,0.4680,0.0799,0.9871,-0.0081,0.7383,0.0213
,,0.5480,0.0501,0.9790,-0.0025,0.7597,0.1150
,,0.5981,0.0819,0.9765,0.0024,0.8747,-0.0112
,,0.6800,0.2460,0.9789,-0.0014,0.8635,0.0078
,,0.9260,-0.9260,0.9775,-0.0026,0.8713,0.0355
,,0.4938,0.0382,0.9749,-0.0031,0.9068,-0.0137
,,0.5319,0.0593,0.9718,0.0023,0.8931,0.0045
,,0.5912,0.0126,0.9741,-0.0033,0.8976,-0.0721
,,0.6038,0.0590,0.9708,-0.0181,0.8255,-0.0677
,,0.6628,-0.1543,0.9527,-0.0066,0.7577,-0.0194
,,0.5084,-0.0046,0.9461,0.0060,0.7383,0.1276
,,0.5038,-0.0070,0.9520,-0.0071,0.8659,-0.0074
,,0.4968,0.0509,0.9449,-0.0027,0.8585,-0.0067
,,0.5477,0.1532,0.9422,-0.0136,0.8518,-0.0642
,,0.7009,-0.1231,0.9286,0.0054,0.7876,-0.0495
,,0.5778,-0.1387,0.9340,-0.0050,0.7381,0.0371
,,0.4391,0.0669,0.9290,-0.0066,0.7752,-0.0037
,,0.5060,0.1115,0.9223,-0.0037,0.7715,-0.0186
,,0.6176,-0.0626,0.9187,-0.0078,0.7528,-0.0237
,,0.5550,-0.1783,0.9109,-0.0038,0.7292,-0.0409
,,0.3767,-0.1438,0.9071,-0.0081,0.6882,-0.0791
,,0.2329,0.1302,0.8991,-0.0119,0.6091,-0.0580
,,0.3631,0.4495,0.8872,-0.0069,0.5511,-0.0323
,,0.8126,-0.8126,0.8803,-0.0192,0.5188,-0.0288
,,0.5590,0.1377,0.8611,-0.0168,0.4900,-0.0285
,,0.6967,-0.0580,0.8443,-0.0375,0.4615,-0.0475
,,0.6388,0.2975,0.8068,-0.0804,0.4140,-0.0312
,,0.9362,-0.1891,0.7264,-0.0354,0.3828,-0.0537
,,0.7472,0.0028,0.6911,-0.0443,0.3291,-0.0894
,,0.7499,-0.7499,0.6468,-0.0028,0.2397,-0.0508
,,0.9869,0.0012,0.6440,0.0009,0.1889,-0.0679
,,0.9880,-0.0103,0.6449,-0.0145,0.1209,-0.0234
,,0.9778,-0.0019,0.6303,-0.2263,0.0975,-0.0548
,,0.9759,-0.0031,0.4041,0.1284,0.0426,-0.0426
,,0.9670,-0.0016,0.5035,-0.0884,0.7263,0.0586
,,0.9654,-0.0044,0.4152,-0.0995,0.7848,-0.7848
,,0.9611,-0.0131,0.3156,-0.0734,0.5835,-0.1319
,,0.9480,-0.0100,0.2422,-0.0958,0.4516,0.0553
,,0.9380,-0.0125,0.1464,-0.0624,0.5069,0.4124
,,0.9255,-0.0157,0.0840,-0.0840,0.9193,0.0249
,,0.9098,0.0266,0.8522,-0.2586,0.9442,0.0322
,,0.9363,-0.3680,0.5936,0.2363,0.9764,-0.0274
,,0.5684,0.1774,0.8300,-0.8300,0.9490,-0.1750
,,0.7458,-0.1999,0.9197,-0.2162,0.7741,0.2188
,,0.5459,-0.0894,0.7035,0.1981,0.9929,-0.0118
,,0.4565,-0.1461,0.9017,-0.1208,0.9811,-0.0067
,,0.6203,-0.6203,0.7808,0.1680,0.9744,0.0250
,,0.7180,-0.7180,0.9489,-0.0136,0.9994,-0.0289
,,0.5343,-0.0994,0.9352,0.0221,0.9705,0.0032
,,0.4349,0.1457,0.9574,-0.2709,0.9737,-0.0092
,,0.5806,-0.0516,0.6865,-0.2542,0.9645,-0.0031
,,0.5290,0.0779,0.4323,0.2201,0.9614,-0.0031
,,0.6069,-0.1431,0.6524,0.2648,0.9583,0.0041
,,0.4638,-0.0135,0.9172,-0.9172,0.9624,0.0267
,,0.4502,-0.0462,0.9855,-0.9855,0.9891,-0.0952
,,0.4040,-0.0704,0.9709,-0.9709,0.8939,-0.2578
,,0.3336,0.0004,0.7832,0.1673,0.6361,-0.6361
,,0.3340,0.1505,0.9505,0.0047,0.9699,-0.9699
,,0.4845,0.0738,0.9552,-0.0154,0.9362,-0.9362
,,0.5583,-0.0561,0.9398,-0.0412,0.6159,-0.2640
,,0.5021,0.0240,0.8986,0.0356,0.3519,0.0060
,,0.5261,-0.0255,0.9342,-0.0100,0.3579,0.0415
,,0.5006,-0.1297,0.9241,-0.0042,0.3994,0.0160
,,0.3709,-0.0981,0.9199,-0.0002,0.4155,0.0973
,,0.2728,0.0161,0.9198,-0.0026,0.5128,0.1588
,,0.2889,0.0764,0.9172,-0.0036,0.6716,-0.2715
,,0.3653,0.0405,0.9136,-0.0023,0.4001,0.0024
,,0.4059,0.0284,0.9113,0.0035,0.4025,0.3978
,,0.4343,-0.0126,0.9148,-0.0008,0.8003,-0.8003
,,0.4217,0.0663,0.9140,-0.0031,0.8010,0.0890
,,0.4880,0.1728,0.9108,-0.0018,0.8901,-0.3128
,,0.6608,0.0944,0.9090,-0.0053,0.5773,0.0181
,,0.7553,-0.7553,0.9038,0.0011,0.5954,-0.3501
,,0.9994,-0.0015,0.9006,-0.0032,0.2916,0.2354
,,0.9979,-0.0029,0.8973,-0.0036,0.5271,0.1180
,,0.9950,-0.0069,0.8937,-0.0037,0.6451,-0.0800
,,0.9881,0.0051,0.8900,-0.0008,0.5651,-0.2436
,,0.9932,-0.0016,0.8892,-0.0001,0.3215,-0.0595
,,0.9916,0.0032,0.8892,-0.0037,0.2620,0.0709
,,0.9948,-0.0055,0.8855,-0.0045,0.3329,-0.1169
,,0.9893,-0.0013,0.8809,-0.0135,0.2159,-0.0258
,,0.9880,0.0057,0.8674,0.0041,0.1901,-0.0154
,,0.9936,-0.0001,0.8715,-0.0084,0.1747,-0.0115
,,0.9935,-0.0005,0.8632,-0.0063,0.1633,-0.0623
,,0.9931,-0.0019,0.8569,-0.0024,0.1009,-0.0413
,,0.9912,-0.0014,0.8545,-0.0072,0.0596,-0.0596
,,0.9898,-0.0019,0.8473,-0.0106,0.8981,-0.1678
,,0.9879,-0.0024,0.8367,-0.0045,0.7303,-0.0203
,,0.9855,-0.0025,0.8322,-0.0154,0.7100,0.2753
,,0.9829,-0.0020,0.8168,-0.0071,0.9853,-0.9853
,,0.9810,0.0003,0.8097,-0.0165,0.8750,-0.1060
,,0.9812,-0.0014,0.7932,-0.0194,0.7690,-0.0667
,,0.9798,-0.0023,0.7738,-0.1746,0.7023,-0.7023
,,0.9775,-0.0019,0.5992,0.0434,1.0086,-0.0011
,,0.9756,-0.0029,0.6425,0.0803,1.0075,-0.0204
,,0.9727,0.0002,0.7229,-0.0344,0.9871,-0.1859
,,0.9728,-0.0030,0.6884,-0.0339,0.8013,-0.0201
,,0.9698,-0.0053,0.6546,-0.0521,0.7812,-0.7812
,,0.9646,-0.0051,0.6025,-0.0665,0.9987,-0.0074
,,0.9595,-0.0039,0.5360,-0.1180,0.9913,-0.0065
,,0.9556,-0.0054,0.4180,-0.1360,0.9848,-0.0091
,,0.9502,-0.0081,0.2819,-0.1243,0.9757,0.0008
,,0.9421,-0.0056,0.1576,-0.0778,0.9764,0.0012
,,0.9365,-0.0109,0.0798,-0.0798,0.9776,0.0015
,,0.9256,-0.0065,0.9794,-0.0343,0.9792,-0.0022
,,0.9191,-0.0164,0.9451,-0.0166,0.9769,-0.0053
,,0.9028,-0.0385,0.9285,0.0191,0.9716,-0.0064
,,0.8642,-0.1392,0.9476,-0.1506,0.9652,-0.0024
,,0.7251,-0.1979,0.7970,0.0824,0.9629,-0.0023
,,0.5272,-0.2158,0.8794,0.0983,0.9605,-0.0056
,,0.7114,-0.0630,0.9777,-0.0911,0.9549,-0.0004
,,,,0.8866,-0.8866,0.9545,-0.0031
,,,,0.9757,-0.9757,0.9515,-0.0024
,,,,0.9561,0.0293,0.9491,-0.0056
,,,,0.9853,0.0103,0.9435,0.0065
,,,,0.9956,0.0013,0.9500,0.0092
,,,,0.9969,-0.9969,0.9592,0.0112
,,,,0.9088,-0.1393,0.9704,0.0315
,,,,0.9030,0.0177,0.8799,-0.1064
,,,,0.9207,-0.0990,0.7734,0.1894
,,,,0.8216,-0.1941,0.9629,-0.0148
,,,,0.6275,0.3068,0.9480,0.0003
,,,,0.9343,-0.0628,0.9483,-0.0076
,,,,0.8715,0.0218,0.9407,0.0166
,,,,0.8932,-0.0666,0.9573,-0.0220
,,,,0.8266,0.0631,0.9353,-0.0194
,,,,0.8897,-0.0001,0.9159,0.0095
,,,,0.8897,0.0087,0.9254,0.0095
,,,,0.8984,-0.1854,0.9349,0.0057
,,,,0.7130,-0.0877,0.9406,0.0098
,,,,0.6253,0.2022,0.9504,-0.0352
,,,,0.8276,-0.1618,0.9152,0.0266
,,,,0.6658,0.1609,0.9418,-0.3051
,,,,0.8266,0.1338,0.6367,-0.4159
,,,,0.9604,0.0079,0.2208,-0.0209
,,,,0.9683,-0.0983,0.1999,0.0175
,,,,0.8700,0.1246,0.2174,-0.0022
,,,,0.9946,-0.1165,0.2153,-0.0297
,,,,0.8781,0.0124,0.1855,-0.0263
,,,,0.8905,0.0752,0.1592,-0.0440
,,,,0.9657,-0.0042,0.1152,0.0093
,,,,0.9615,-0.0406,0.1246,0.0012
,,,,0.9209,-0.0017,0.1258,-0.0118
,,,,0.9192,-0.0028,0.1141,-0.0256
,,,,0.9164,-0.0067,0.0884,-0.0129
,,,,0.9097,-0.0098,0.0755,-0.0219
,,,,0.8998,-0.0087,0.0536,-0.0171
,,,,0.8912,-0.0160,0.0365,-0.0147
,,,,0.8752,-0.0083,0.0218,-0.0218
,,,,0.8669,-0.0228,0.9934,-0.5836
,,,,0.8441,-0.0735,0.4098,-0.1924
,,,,0.7707,-0.0071,0.2174,0.1206
,,,,0.7636,-0.0528,0.3381,0.1512
,,,,0.7108,-0.0808,0.4893,0.1584
,,,,0.6301,-0.2322,0.6477,-0.6477
,,,,0.3978,-0.1811,1.0036,0.0060
,,,,0.2167,-0.0357,1.0097,-0.0006
,,,,0.1810,-0.0803,1.0090,-1.0090
,,,,0.1007,-0.0287,0.9505,-0.9505
,,,,0.0721,-0.0721,0.8193,-0.0805
,,,,0.4949,0.2276,0.7388,0.1469
,,,,0.7225,-0.2463,0.8857,-0.8857
,,,,0.4762,0.1520,0.7939,-0.0172
,,,,0.6282,0.1292,0.7766,-0.3562
,,,,0.7574,-0.7574,0.4204,-0.1049
,,,,0.8897,0.0195,0.3155,-0.1518
,,,,0.9092,-0.1049,0.5058,0.1444
,,,,0.8043,-0.1722,0.6502,-0.2556
,,,,0.6321,0.3144,0.3946,-0.1322
,,,,0.9465,-0.9465,0.2624,-0.0447
,,,,0.9956,-0.0020,0.7561,-0.1657
,,,,0.9936,-0.0005,0.5904,-0.2333
,,,,0.9932,-0.0052,0.3571,0.2297
,,,,0.9879,0.0000,0.5868,0.0483
,,,,0.9879,0.0002,0.6351,-0.2190
,,,,0.9881,-0.0077,0.4161,0.0930
,,,,0.9804,-0.1349,0.5092,0.4664
,,,,0.8455,-0.0783,0.9756,-0.9756
,,,,0.7671,0.0527,0.8765,-0.8765
,,,,0.8198,-0.2403,0.9281,-0.9281
,,,,0.5796,0.0729,0.8594,-0.8594
,,,,0.6525,-0.0987,0.9911,-0.9911
,,,,0.5538,-0.0468,0.6912,-0.1141
,,,,0.5070,-0.1136,0.5772,0.1335
,,,,0.3934,0.1322,0.7107,0.1318
,,,,0.5255,0.2122,0.8425,-0.3615
,,,,0.7377,-0.1710,0.4810,0.0713
,,,,0.5667,-0.3430,0.5522,-0.5522
,,,,0.2237,-0.0333,0.9965,0.0036
,,,,0.1904,-0.1904,1.0001,-0.0763
,,,,0.8247,-0.2008,0.9238,0.0441
,,,,0.6239,0.0028,0.9679,-0.0070
,,,,0.6268,0.1305,0.9609,0.0173
,,,,0.7573,0.1376,0.9782,-0.0815
,,,,0.8950,-0.8950,0.8966,-0.8966
,,,,0.9618,-0.3457,0.9899,-0.0088
,,,,0.6161,0.0857,0.9811,-0.0018
,,,,0.7018,-0.7018,0.9793,0.0089
,,,,0.9947,-0.0152,0.9882,-0.1659
,,,,0.9795,-0.5113,0.8222,0.1279
,,,,0.4682,0.4236,0.9501,-0.1219
,,,,0.8918,-0.8918,0.8282,-0.0231
,,,,0.9646,0.0378,0.8052,0.1629
,,,,0.9894,0.0144,0.9327,0.0103
,,,,0.9948,-0.0040,0.8843,-0.0807
,,,,0.9908,-0.0048,0.8036,-0.1497
,,,,0.9860,-0.0053,0.6540,-0.4542
,,,,0.9807,-0.0017,0.1998,-0.0674
,,,,0.9790,-0.0016,0.1324,0.0063
,,,,0.9774,-0.0067,0.8827,0.1179
,,,,0.9707,-0.0066,1.0006,-0.3756
,,,,0.9641,-0.0026,0.6249,-0.0781
,,,,0.9615,-0.0200,0.5469,-0.1087
,,,,0.9415,0.0115,0.4382,-0.0963
,,,,0.9530,-0.0033,0.3419,0.0068
,,,,0.9497,0.0005,0.3487,0.0877
,,,,0.9502,-0.0040,0.4364,0.0987
,,,,0.9463,0.0031,0.5350,0.2210
,,,,0.9493,-0.0032,0.7560,-0.1032
,,,,0.9461,-0.0014,0.6528,-0.0148
,,,,0.9447,-0.0044,0.6381,-0.6381
,,,,0.9403,-0.0054,0.8797,-0.0482
,,,,0.9349,0.0010,0.8316,0.0412
,,,,0.9359,-0.0188,0.8728,0.0803
,,,,0.9170,0.0198,0.9531,-0.0724
,,,,0.9368,-0.0005,0.8807,0.1200
,,,,0.9363,-0.0012,1.0007,-0.0472
,,,,0.9351,-0.0056,0.9535,-0.9535
,,,,0.9295,-0.0047,0.9821,-0.1251
,,,,0.9248,-0.0007,0.8571,-0.0243
,,,,0.9241,-0.0051,0.8327,-0.8327
,,,,0.9189,-0.0106,0.9279,0.0172
,,,,0.9083,0.0009,0.9452,0.0348
,,,,0.9091,-0.0132,0.9800,-0.0606
,,,,0.8959,0.0000,0.9194,0.0729
,,,,0.8960,-0.0046,0.9922,-0.0147
,,,,0.8914,-0.0072,0.9775,-0.0697
,,,,0.8842,-0.0527,0.9079,-0.9079
,,,,0.8316,-0.0244,0.9719,-0.2031
,,,,0.8072,0.0861,0.7688,-0.1482
,,,,0.8933,-0.0649,0.6206,-0.0119
,,,,0.8284,-0.0307,0.6087,-0.0097
,,,,0.7977,-0.0062,0.5991,-0.0352
,,,,0.7914,0.0170,0.5638,-0.0168
,,,,0.8084,-0.0809,0.5470,-0.0256
,,,,0.7274,-0.1463,0.5215,0.0492
,,,,0.5811,-0.0592,0.5707,0.1148
,,,,0.5220,-0.0531,0.6855,0.0046
,,,,0.4689,-0.0425,0.6900,0.0273
,,,,0.4264,-0.0804,0.7173,0.0295
,,,,0.3459,-0.1196,0.7468,-0.0478
,,,,0.2264,-0.0732,0.6990,-0.0760
,,,,0.1532,-0.0880,0.6230,0.1184
,,,,0.5187,0.1942,0.7212,-0.0877
,,,,0.7129,-0.2425,0.6335,0.0935
,,,,0.4703,0.1514,0.7270,-0.0837
,,,,0.6217,0.3104,0.6433,-0.0670
,,,,0.9321,0.0235,0.5764,0.2082
,,,,0.9556,-0.9556,0.7846,0.1267
,,,,0.7836,-0.1448,0.9113,-0.4333
,,,,0.6388,0.0589,0.4780,0.0286
,,,,0.6976,0.1929,0.5066,0.2718
,,,,0.8905,-0.2502,0.7784,-0.0089
,,,,0.6404,0.3033,0.7694,-0.2362
,,,,0.9436,0.0222,0.5333,0.1607
,,,,0.9658,-0.9658,0.6939,-0.1433
,,,,0.9822,0.0185,0.7575,-0.2115
,,,,0.9878,-0.0336,0.7604,0.0295
,,,,0.9542,-0.0027,0.7899,-0.7899
,,,,0.9515,0.0162,0.7532,-0.1696
,,,,0.9676,-0.0247,0.9852,-0.0774
,,,,0.9429,0.0377,0.9078,-0.4488
,,,,0.9806,0.0058,0.4590,0.1074
,,,,0.9865,-0.0088,0.5663,0.1773
,,,,0.9777,-0.0074,0.7436,-0.3038
,,,,0.9703,-0.0191,0.4398,-0.2819
,,,,0.9512,0.0222,0.1579,0.0417
,,,,0.9734,0.0314,0.1996,0.4657
,,,,0.8543,-0.0044,0.8886,-0.7066
,,,,0.8499,0.0503,0.1820,0.3521
,,,,0.9002,0.0640,0.5342,-0.0954
,,,,0.9642,0.0066,0.4388,-0.0175
,,,,0.9708,-0.0902,0.4213,-0.0939
,,,,0.8806,-0.0432,0.3274,-0.0115
,,,,0.8375,0.1023,0.3159,0.0327
,,,,0.9398,-0.1119,0.3486,0.0575
,,,,0.8279,-0.0240,0.4061,0.3988
,,,,0.8039,0.0450,0.8049,0.0278
,,,,0.8489,-0.0370,0.8327,0.0403
,,,,0.8119,0.0706,0.8730,-0.0134
,,,,0.8826,-0.1928,0.8596,-0.8596
,,,,0.6897,0.1848,0.7475,0.1931
,,,,0.8745,0.0282,0.9406,-0.9406
,,,,0.9028,-0.0934,0.9011,-0.9011
,,,,0.8094,-0.2056,0.9202,-0.4051
,,,,0.6038,0.2459,0.5151,0.4065
,,,,0.8496,-0.3475,0.9216,0.0669
,,,,0.5021,0.0999,0.9885,0.0049
,,,,0.6021,-0.0346,0.9934,-0.4692
,,,,0.5674,0.1261,0.5242,0.0913
,,,,0.6935,0.3030,0.6155,0.3839
,,,,0.9965,-0.0866,0.9994,-0.0475
,,,,0.9099,-0.0891,0.9518,-0.3224
,,,,0.8209,0.0522,0.6295,0.0314
,,,,0.8730,-0.1627,0.6609,0.3285
,,,,0.7104,-0.2224,0.9894,-0.0091
,,,,0.4880,-0.1466,0.9803,0.0286
,,,,0.3413,-0.1536,1.0089,-0.0363
,,,,0.1878,-0.0810,0.9727,0.0188
,,,,0.9028,-0.0878,0.9915,-0.0732
,,,,0.8150,0.1300,0.9184,0.0225
,,,,0.9450,-0.1302,0.9408,0.0164
,,,,0.8147,-0.0128,0.9573,0.0149
,,,,0.8019,-0.0748,0.9721,0.0180
,,,,0.7271,-0.0667,0.9902,-0.0068
,,,,0.6604,-0.1034,0.9834,-0.0180
,,,,0.5569,0.0407,0.9654,-0.0721
,,,,0.5977,0.0251,0.8933,0.0827
,,,,0.6228,-0.0454,0.9759,-0.0089
,,,,0.5774,0.2246,0.9670,0.0173
,,,,0.8020,0.0644,0.9844,-0.0487
,,,,0.8664,-0.8664,0.9357,0.0570
,,,,0.9871,-0.0063,0.9202,-0.1161
,,,,0.9808,-0.0696,0.8041,-0.0460
,,,,0.9112,-0.1152,0.7581,0.2139
,,,,0.7959,0.0394,0.9720,-0.0825
,,,,0.8354,-0.0566,0.8895,0.0580
,,,,0.7788,-0.0219,0.9475,-0.2462
,,,,0.7569,-0.0522,0.7013,-0.7013
,,,,0.7047,-0.0663,0.7228,-0.3168
,,,,0.6384,-0.1099,0.4059,-0.1019
,,,,0.5286,0.1656,0.3040,-0.0007
,,,,0.6941,-0.6941,0.3033,0.1243
,,,,0.8897,-0.8897,0.3070,0.0076
,,,,0.5188,-0.5188,0.3147,0.0579
,,,,0.7885,-0.2883,0.3726,0.0115
,,,,0.5002,0.1334,0.3841,-0.0800
,,,,0.6336,0.1075,0.3041,0.0040
,,,,0.7410,0.0785,0.3081,-0.0514
,,,,0.8195,0.1162,0.2567,0.1822
,,,,0.9357,0.1077,0.4389,0.5578
,,,,0.9699,-0.9699,0.7045,-0.1391
,,,,0.8815,-0.0051,0.5655,-0.0835
,,,,0.8764,-0.0834,0.4820,0.0708
,,,,0.7929,-0.7929,0.5527,-0.0222
,,,,0.8897,-0.0956,0.5305,-0.0625
,,,,0.7941,0.1488,0.4680,0.0799
,,,,0.9429,0.0624,0.5480,0.0501
,,,,0.9861,-0.0202,0.6800,0.2460
,,,,0.9659,-0.0376,0.9260,-0.9260
,,,,0.9283,0.0065,0.4938,0.0382
,,,,0.9348,-0.0612,0.5319,0.0593
,,,,0.8736,-0.2586,0.5912,0.0126
,,,,0.6151,-0.1988,0.6038,0.0590
,,,,0.4162,-0.1018,0.6628,-0.1543
,,,,0.3144,-0.1045,0.5084,-0.0046
,,,,0.2099,-0.0946,0.5038,-0.0070
,,,,0.9169,-0.9169,0.5477,0.1532
,,,,0.9713,-0.2311,0.7009,-0.1231
,,,,0.7402,0.2153,0.5778,-0.1387
,,,,0.9555,-0.9555,0.4391,0.0669
,,,,0.8577,-0.8577,0.5060,0.1115
,,,,0.5678,0.3149,0.6176,-0.0626
,,,,0.8827,0.0559,0.5550,-0.1783
,,,,0.9386,0.0527,0.3767,-0.1438
,,,,0.9913,0.0072,0.2329,0.1302
,,,,0.9985,0.0058,0.3631,0.4495
,,,,0.9457,-0.0332,0.9880,-0.0103
,,,,0.9125,0.0697,0.9778,-0.0019
,,,,0.9823,-0.9823,0.9759,-0.0031
,,,,0.9125,-0.0240,0.9728,-0.0058
,,,,0.8885,0.0607,0.9670,-0.0016
,,,,0.9492,-0.0655,0.9654,-0.0044
,,,,0.8836,-0.0268,0.9611,-0.0131
,,,,0.8569,-0.8569,0.9480,-0.0100
,,,,0.8579,0.1336,0.9380,-0.0125
,,,,0.9916,-0.9916,0.9255,-0.0157
,,,,0.7386,0.1093,0.9098,0.0266
,,,,0.8479,-0.2679,0.9363,-0.3680
,,,,0.5800,-0.2021,0.5684,0.1774
,,,,0.3779,0.4921,0.7458,-0.1999
,,,,0.8700,-0.8700,0.5459,-0.0894
,,,,0.9357,-0.1152,0.4565,-0.1461
,,,,0.8205,-0.1776,0.6203,-0.6203
,,,,0.6429,-0.2765,0.7180,-0.7180
