Time,GHI_1_Feb_MPT_1,GHI_2_Feb_MPT_1,GHI_3_Feb_MPT_1,GHI_4_Feb_MPT_1,GHI_5_Feb_MPT_1,GHI_6_Feb_MPT_1,GHI_7_Feb_MPT_1,GHI_8_Feb_MPT_1,GHI_9_Feb_MPT_1,GHI_10_Feb_MPT_1,GHI_11_Feb_MPT_1,GHI_12_Feb_MPT_1,GHI_13_Feb_MPT_1,GHI_14_Feb_MPT_1,GHI_15_Feb_MPT_1,GHI_16_Feb_MPT_1,GHI_17_Feb_MPT_1,GHI_18_Feb_MPT_1,GHI_19_Feb_MPT_1,GHI_20_Feb_MPT_1,GHI_21_Feb_MPT_1,GHI_22_Feb_MPT_1,GHI_23_Feb_MPT_1,GHI_24_Feb_MPT_1,GHI_25_Feb_MPT_1,GHI_26_Feb_MPT_1,GHI_27_Feb_MPT_1,GHI_28_Feb_MPT_1,GHI_29_Feb_MPT_1
6:21:00,56.2837,46.7035,38.3208,144.9007,95.8021,,,95.8021,104.1848,83.8268,,,,,49.2334,98.4667,94.4749,104.1848,31.9352,19.9595,41.2496,,,,81.1685,98.4667,,43.9108,22.6207
6:22:00,57.4813,50.2961,39.5184,153.2834,128.1353,,,128.1353,106.5798,86.2219,,,,,51.8946,101.1280,97.1361,106.5798,31.9352,19.9595,42.5802,,,,83.8298,101.1280,,45.2415,22.6207
6:23:00,56.2837,52.6912,40.7159,149.6908,138.9131,,,138.9131,108.9749,89.8145,,,,,53.2253,103.7893,99.7974,108.9749,30.6045,21.2901,43.9108,,,,86.4911,105.1199,,47.9027,25.2820
6:24:00,62.2714,55.0862,46.7035,144.9007,180.8265,,,180.8265,112.5675,91.0120,,,,,55.8865,107.7812,102.4586,112.5675,30.6045,23.9514,45.2415,,,,89.1523,109.1118,,49.2334,25.2820
6:25:00,80.2343,56.2837,52.6912,173.6413,168.8512,,,168.8512,116.1601,93.4071,,,,,57.2172,110.4424,105.1199,116.1601,30.6045,26.6126,47.9027,,,,91.8136,113.1037,,51.8946,26.6126
6:26:00,128.1353,57.4813,61.0738,176.0364,184.4191,,,184.4191,119.7526,96.9996,,,,,61.2091,113.1037,107.7812,119.7526,27.9433,29.2739,49.2334,,,,94.4749,117.0956,,51.8946,29.2739
6:27:00,132.9254,56.2837,69.4565,227.5300,188.0116,,,188.0116,122.1477,100.5922,,,,,61.2091,117.0956,110.4424,122.1477,25.2820,30.6045,50.5640,,,,97.1361,121.0875,,53.2253,26.6126
6:28:00,138.9131,57.4813,77.8392,156.8760,189.2092,,,189.2092,126.9378,102.9873,,,,,63.8703,119.7568,113.1037,126.9378,21.2901,33.2658,53.2253,,,,98.4667,122.4181,,51.8946,27.9433
6:29:00,141.3081,58.6788,93.4071,166.4562,173.6413,,,173.6413,129.3328,105.3823,,,,,63.8703,123.7487,117.0956,129.3328,17.2982,31.9352,54.5559,,,,103.7893,123.7487,,55.8865,26.6126
6:30:00,143.7032,61.0738,106.5798,166.4562,193.9993,,,193.9993,132.9254,107.7774,,,,,62.5397,127.7406,119.7568,132.9254,17.2982,33.2658,57.2172,,,,105.1199,123.7487,,55.8865,27.9433
6:31:00,146.0982,64.6664,107.7774,150.8883,201.1844,,,201.1844,140.1106,107.7774,,,,,62.5397,130.4019,122.4181,140.1106,15.9676,34.5964,58.5478,,,,110.4424,125.0794,,57.2172,26.6126
6:32:00,149.6908,69.4565,101.7897,136.5180,210.7646,,,210.7646,141.3081,110.1724,,,,,61.2091,133.0632,126.4100,141.3081,14.6370,34.5964,59.8784,,,,114.4343,119.7568,,58.5478,26.6126
6:33:00,150.8883,73.0491,96.9996,128.1353,226.3325,,,226.3325,144.9007,112.5675,,,,,61.2091,137.0551,131.7325,144.9007,-1.3306,34.5964,62.5397,,,,117.0956,110.4424,,57.2172,25.2820
