Kt*_C_NA_Nzi,ΔKt*_C_NA_Nzi,Kt*_Cy_NA_Nzi,ΔKt*_Cy_NA_Nzi,Kt*_I_NA_Nzi,ΔKt*_I_NA_Nzi,Kt*_AD_NA_Nzi,ΔKt*_AD_NA_Nzi
0.7263,-0.1163,,,0.3147,-0.0792,0.7263,-0.1163
0.6100,-0.0569,,,0.2355,-0.0657,0.6100,-0.0569
0.5531,0.1394,,,0.1698,-0.0308,0.5531,0.1394
0.6926,0.0156,,,0.1390,-0.0049,0.6926,0.0156
0.7082,0.0393,,,0.1341,-0.0237,0.7082,0.0393
0.7475,-0.2925,,,0.1104,-0.0190,0.7475,-0.2925
0.4550,0.1152,,,0.0915,-0.0063,0.4550,0.1152
0.5702,0.1149,,,0.0852,-0.0852,0.5702,0.1149
0.6851,-0.0469,,,0.0340,0.0023,0.6851,-0.0469
0.6382,-0.1088,,,0.0363,0.0098,0.6382,-0.1088
0.5293,0.0345,,,0.0460,0.0099,0.5293,0.0345
0.5638,-0.1168,,,0.0559,0.0030,0.5638,-0.1168
0.4470,-0.4470,,,0.0589,-0.0047,0.4470,-0.4470
0.1129,-0.0554,,,0.0542,0.0164,0.1129,-0.0554
0.0574,0.0547,,,0.0707,-0.0347,0.0574,0.0547
0.1121,0.1022,,,0.0359,0.0203,0.1121,0.1022
0.2143,0.0350,,,0.0562,0.0375,0.2143,0.0350
0.2494,0.0660,,,0.0937,-0.0172,0.2494,0.0660
0.3154,-0.0540,,,0.0765,0.0695,0.3154,-0.0540
0.2614,0.0032,,,0.1460,0.0898,0.2614,0.0032
0.2646,-0.0804,,,0.2359,-0.0099,0.2646,-0.0804
0.1842,-0.0305,,,0.2260,0.0640,0.1842,-0.0305
0.1537,0.0040,,,0.2900,0.0340,0.1537,0.0040
0.1577,0.0561,,,0.3240,-0.0181,0.1577,0.0561
0.2138,-0.0207,,,0.3058,-0.0454,0.2138,-0.0207
0.1931,0.0728,,,0.2604,-0.0336,0.1931,0.0728
0.2659,0.0212,,,0.2268,0.0433,0.2659,0.0212
0.2871,0.0626,,,0.2701,0.0478,0.2871,0.0626
0.3497,0.1111,,,0.3178,0.0331,0.3497,0.1111
0.4608,0.3838,,,0.3509,0.0190,0.4608,0.3838
0.8446,-0.0865,,,0.3700,0.0363,0.8446,-0.0865
0.7581,-0.5459,,,0.4063,0.0366,0.7581,-0.5459
0.2121,0.0129,,,0.4429,-0.0661,0.2121,0.0129
0.2250,0.1709,,,0.3768,-0.0607,0.2250,0.1709
0.3959,0.2579,,,0.3161,0.0072,0.3959,0.2579
0.6538,-0.0078,,,0.3233,0.0385,0.6538,-0.0078
0.6460,0.1192,,,0.3618,-0.0219,0.6460,0.1192
0.7651,0.0399,,,0.3399,-0.0823,0.7651,0.0399
0.8050,0.1397,,,0.2576,0.1304,0.8050,0.1397
0.9447,-0.9447,,,0.3881,0.0051,0.9447,-0.9447
0.9963,-0.0494,,,0.3932,-0.0476,0.9963,-0.0494
0.9469,0.0548,,,0.3456,-0.0056,0.9469,0.0548
0.6580,0.0505,,,0.3686,0.0523,0.6580,0.0505
0.7086,0.0416,,,0.4209,0.1210,0.7086,0.0416
0.7502,-0.0966,,,0.5419,0.0895,0.7502,-0.0966
0.6536,0.2452,,,0.6314,-0.1794,0.6536,0.2452
0.8989,0.0537,,,0.4520,0.0603,0.8989,0.0537
0.9526,-0.2573,,,0.5123,0.3798,0.9526,-0.2573
0.6953,0.2326,,,0.8921,-0.1779,0.6953,0.2326
0.9279,-0.0183,,,0.7142,-0.1771,0.9279,-0.0183
0.9097,-0.1113,,,0.5371,-0.0168,0.9097,-0.1113
0.7984,-0.7984,,,0.5204,0.1006,0.7984,-0.7984
0.9150,0.0091,,,0.6210,0.2226,0.9150,0.0091
0.9241,-0.1068,,,0.8436,-0.0211,0.9241,-0.1068
0.8174,0.1656,,,0.8225,0.1197,0.8174,0.1656
0.9829,-0.9829,,,0.9422,-0.1363,0.9829,-0.9829
0.6016,-0.0089,,,0.8059,-0.0066,0.6016,-0.0089
0.5928,-0.0256,,,0.7993,0.2033,0.5928,-0.0256
0.8428,-0.4318,,,0.8249,-0.1543,0.8428,-0.4318
0.4110,-0.0305,,,0.6706,-0.1703,0.4110,-0.0305
0.3805,0.1974,,,0.5003,0.0310,0.3805,0.1974
0.5779,-0.0229,,,0.5312,-0.1230,0.5779,-0.0229
0.5550,-0.1012,,,0.4083,-0.0340,0.5550,-0.1012
0.4538,0.4889,,,0.3743,-0.1159,0.4538,0.4889
0.9427,0.0211,,,0.2584,-0.0604,0.9427,0.0211
0.9638,-0.0221,,,0.1980,-0.0209,0.9638,-0.0221
0.9417,-0.0020,,,0.1771,-0.0409,0.9417,-0.0020
0.9397,-0.0439,,,0.1362,0.0295,0.9397,-0.0439
0.8958,-0.0178,,,0.1657,0.2846,0.8958,-0.0178
0.8779,-0.0251,,,0.4502,0.1038,0.8779,-0.0251
0.8529,-0.0336,,,0.5541,-0.0586,0.8529,-0.0336
0.8193,-0.1190,,,0.4954,-0.0700,0.8193,-0.1190
0.7003,-0.2117,,,0.4254,-0.0145,0.7003,-0.2117
0.4886,-0.1973,,,0.4109,-0.1823,0.4886,-0.1973
0.2913,-0.1298,,,0.2286,-0.0840,0.2913,-0.1298
0.1615,0.0045,,,0.1446,-0.0461,0.1615,0.0045
0.1660,-0.1660,,,0.0986,-0.0112,0.1660,-0.1660
0.7238,-0.0688,,,0.0874,-0.0770,0.7238,-0.0688
0.6549,0.1396,,,0.0651,0.0450,0.6549,0.1396
0.7946,-0.1665,,,0.1100,-0.0089,0.7946,-0.1665
0.6280,0.1435,,,0.1011,-0.0247,0.6280,0.1435
0.7715,-0.0018,,,0.0764,-0.0266,0.7715,-0.0018
0.7698,-0.1742,,,0.0499,0.0031,0.7698,-0.1742
0.5956,0.0511,,,0.0529,-0.0009,0.5956,0.0511
0.6467,-0.0384,,,0.0520,0.0016,0.6467,-0.0384
0.6083,0.0116,,,0.0536,0.0188,0.6083,0.0116
0.6199,-0.0840,,,0.0724,-0.0096,0.6199,-0.0840
0.5359,-0.0582,,,0.0627,-0.0359,0.5359,-0.0582
0.4778,0.0079,,,0.0268,-0.0072,0.4778,0.0079
0.4857,-0.0803,,,0.0196,0.0002,0.4857,-0.0803
0.4054,0.0675,,,0.0198,0.0007,0.4054,0.0675
0.4729,0.1884,,,0.0204,0.0013,0.4729,0.1884
0.6613,-0.0019,,,0.0217,0.0036,0.6613,-0.0019
0.6594,0.0955,,,0.0253,0.0127,0.6594,0.0955
0.7548,-0.1101,,,0.0380,0.0212,0.7548,-0.1101
0.6447,-0.0735,,,0.0592,0.0391,0.6447,-0.0735
0.5712,0.0613,,,0.0983,0.0871,0.5712,0.0613
0.6325,0.2453,,,0.1854,0.1343,0.6325,0.2453
0.8778,-0.0055,,,0.3196,0.0582,0.8778,-0.0055
0.8724,0.0740,,,0.3778,-0.0281,0.8724,0.0740
0.9463,-0.0958,,,0.3497,-0.0234,0.9463,-0.0958
0.8505,0.1354,,,0.3263,0.0152,0.8505,0.1354
0.9860,-0.0214,,,0.3414,0.0581,0.9860,-0.0214
0.9646,0.0028,,,0.3995,0.0354,0.9646,0.0028
0.9674,-0.0019,,,0.4349,0.0405,0.9674,-0.0019
0.9655,0.0001,,,0.4754,0.1722,0.9655,0.0001
0.9656,-0.0028,,,0.6476,0.1968,0.9656,-0.0028
0.9628,-0.0034,,,0.8444,-0.0867,0.9628,-0.0034
0.9595,-0.0088,,,0.7576,-0.1593,0.9595,-0.0088
0.9507,-0.0066,,,0.5983,-0.0647,0.9507,-0.0066
0.9441,-0.0046,,,0.5336,0.0124,0.9441,-0.0046
0.9396,-0.0046,,,0.5459,0.0272,0.9396,-0.0046
0.9350,-0.0103,,,0.5731,0.0293,0.9350,-0.0103
0.9247,-0.3855,,,0.6024,-0.0838,0.9247,-0.3855
0.5392,0.1179,,,0.5186,-0.0943,0.5392,0.1179
0.6571,-0.0411,,,0.4243,0.4816,0.6571,-0.0411
0.6160,0.1877,,,0.9059,-0.1792,0.6160,0.1877
0.8037,0.1014,,,0.7267,0.0580,0.8037,0.1014
0.9051,-0.0455,,,0.7847,0.0771,0.9051,-0.0455
0.8596,-0.0324,,,0.8619,-0.2255,0.8596,-0.0324
0.8272,-0.0483,,,0.6364,-0.6364,0.8272,-0.0483
0.7789,-0.0653,,,0.9770,-0.4447,0.7789,-0.0653
0.7136,-0.1009,,,0.5323,-0.0741,0.7136,-0.1009
0.6127,-0.1591,,,0.4582,0.3203,0.6127,-0.1591
0.4537,-0.1708,,,0.7785,-0.7785,0.4537,-0.1708
0.2829,-0.1378,,,0.7392,0.2032,0.2829,-0.1378
0.1451,-0.0242,,,0.9424,-0.2377,0.1451,-0.0242
0.1209,-0.1209,,,0.7047,-0.0332,0.1209,-0.1209
0.9056,-0.4524,,,0.6715,-0.1311,0.9056,-0.4524
0.4533,0.1192,,,0.5403,0.0629,0.4533,0.1192
0.5725,0.3434,,,0.6033,-0.1361,0.5725,0.3434
0.9158,-0.3031,,,0.4672,0.0030,0.9158,-0.3031
0.6127,-0.0698,,,0.4701,0.0389,0.6127,-0.0698
0.5429,-0.0966,,,0.5090,-0.0078,0.5429,-0.0966
0.4463,0.2361,,,0.5012,0.0739,0.4463,0.2361
0.6823,0.0396,,,0.5751,0.0837,0.6823,0.0396
0.7219,-0.3088,,,0.6588,-0.6588,0.7219,-0.3088
0.4131,0.0705,,,0.9993,-0.4100,0.4131,0.0705
0.4836,-0.0480,,,0.5893,0.0722,0.4836,-0.0480
0.4357,0.0458,,,0.6615,0.2149,0.4357,0.0458
0.4815,-0.0497,,,0.8764,-0.0250,0.4815,-0.0497
0.4318,-0.0831,,,0.8515,-0.1445,0.4318,-0.0831
0.3488,0.0192,,,0.7070,0.1476,0.3488,0.0192
0.3680,0.0538,,,0.8546,-0.2683,0.3680,0.0538
0.4218,-0.0890,,,0.5863,-0.1747,0.4218,-0.0890
0.3328,0.1349,,,0.4116,-0.1683,0.3328,0.1349
0.4677,-0.0375,,,0.4107,-0.0201,0.4677,-0.0375
0.4301,0.0006,,,,,0.4301,0.0006
0.4308,-0.0759,,,,,0.4308,-0.0759
0.3549,-0.0285,,,,,0.3549,-0.0285
0.3263,0.1332,,,,,0.3263,0.1332
0.4595,0.1998,,,,,0.4595,0.1998
0.6593,0.1495,,,,,0.6593,0.1495
0.8088,0.1230,,,,,0.8088,0.1230
0.9318,-0.2322,,,,,0.9318,-0.2322
0.6996,0.2224,,,,,0.6996,0.2224
0.9220,-0.0444,,,,,0.9220,-0.0444
0.8775,-0.8775,,,,,0.8775,-0.8775
0.9717,-0.0175,,,,,0.9717,-0.0175
0.9541,-0.0018,,,,,0.9541,-0.0018
0.9524,0.0151,,,,,0.9524,0.0151
0.9675,-0.0969,,,,,0.9675,-0.0969
0.8706,0.0067,,,,,0.8706,0.0067
0.8773,-0.0561,,,,,0.8773,-0.0561
0.8212,-0.2118,,,,,0.8212,-0.2118
0.6094,-0.1312,,,,,0.6094,-0.1312
0.4782,0.0881,,,,,0.4782,0.0881
0.5663,0.1905,,,,,0.5663,0.1905
0.7568,0.1873,,,,,0.7568,0.1873
0.9441,-0.0410,,,,,0.9441,-0.0410
0.9031,-0.0625,,,,,0.9031,-0.0625
0.8406,0.1206,,,,,0.8406,0.1206
0.9612,-0.0129,,,,,0.9612,-0.0129
0.9484,-0.0306,,,,,0.9484,-0.0306
0.9178,0.0119,,,,,0.9178,0.0119
0.9297,-0.0061,,,,,0.9297,-0.0061
0.9235,-0.0041,,,,,0.9235,-0.0041
0.9194,-0.0050,,,,,0.9194,-0.0050
0.9144,-0.0103,,,,,0.9144,-0.0103
0.9041,-0.0066,,,,,0.9041,-0.0066
0.8975,-0.0051,,,,,0.8975,-0.0051
0.8925,-0.0054,,,,,0.8925,-0.0054
0.8871,-0.0076,,,,,0.8871,-0.0076
0.8795,-0.0161,,,,,0.8795,-0.0161
0.8634,-0.0168,,,,,0.8634,-0.0168
0.8466,-0.0071,,,,,0.8466,-0.0071
0.8395,0.0010,,,,,0.8395,0.0010
0.8405,-0.0295,,,,,0.8405,-0.0295
0.8110,-0.2040,,,,,0.8110,-0.2040
0.6070,0.1267,,,,,0.6070,0.1267
0.7337,-0.1233,,,,,0.7337,-0.1233
0.6104,0.0592,,,,,0.6104,0.0592
0.6696,-0.0706,,,,,0.6696,-0.0706
0.5990,-0.1185,,,,,0.5990,-0.1185
0.4806,-0.1325,,,,,0.4806,-0.1325
0.3480,-0.1314,,,,,0.3480,-0.1314
0.2167,-0.1089,,,,,0.2167,-0.1089
0.1078,0.0078,,,,,0.1078,0.0078
0.5848,-0.4322,,,,,0.5848,-0.4322
0.1526,-0.0278,,,,,0.1526,-0.0278
0.1247,-0.0175,,,,,0.1247,-0.0175
0.1073,0.2052,,,,,0.1073,0.2052
0.3125,-0.1005,,,,,0.3125,-0.1005
0.2120,-0.0012,,,,,0.2120,-0.0012
0.2108,-0.0486,,,,,0.2108,-0.0486
0.1622,0.1166,,,,,0.1622,0.1166
0.2788,0.0085,,,,,0.2788,0.0085
0.2873,0.0990,,,,,0.2873,0.0990
0.3863,-0.0144,,,,,0.3863,-0.0144
0.3719,0.4354,,,,,0.3719,0.4354
0.8073,-0.5261,,,,,0.8073,-0.5261
0.2812,0.2978,,,,,0.2812,0.2978
0.5790,-0.3208,,,,,0.5790,-0.3208
0.2582,-0.0388,,,,,0.2582,-0.0388
0.2194,0.1104,,,,,0.2194,0.1104
0.3298,-0.0191,,,,,0.3298,-0.0191
0.3107,-0.0442,,,,,0.3107,-0.0442
0.2665,-0.0045,,,,,0.2665,-0.0045
0.2620,-0.0316,,,,,0.2620,-0.0316
0.2304,0.0376,,,,,0.2304,0.0376
0.2679,0.1368,,,,,0.2679,0.1368
0.4048,0.0399,,,,,0.4048,0.0399
0.4447,-0.2697,,,,,0.4447,-0.2697
0.1750,0.0953,,,,,0.1750,0.0953
0.2703,0.2077,,,,,0.2703,0.2077
0.4780,-0.4780,,,,,0.4780,-0.4780
0.9854,-0.0652,,,,,0.9854,-0.0652
0.9202,-0.9202,,,,,0.9202,-0.9202
0.9123,-0.9123,,,,,0.9123,-0.9123
0.9693,-0.0057,,,,,0.9693,-0.0057
0.9636,-0.1859,,,,,0.9636,-0.1859
0.7777,0.0743,,,,,0.7777,0.0743
0.8520,0.0272,,,,,0.8520,0.0272
0.8792,0.0211,,,,,0.8792,0.0211
0.9003,-0.1295,,,,,0.9003,-0.1295
0.7708,0.2256,,,,,0.7708,0.2256
0.9964,-0.9964,,,,,0.9964,-0.9964
0.9841,-0.0178,,,,,0.9841,-0.0178
0.9663,-0.0117,,,,,0.9663,-0.0117
0.9546,0.0251,,,,,0.9546,0.0251
0.9797,-0.0170,,,,,0.9797,-0.0170
0.9627,-0.0065,,,,,0.9627,-0.0065
0.9561,-0.0340,,,,,0.9561,-0.0340
0.9221,0.0247,,,,,0.9221,0.0247
0.9468,-0.0082,,,,,0.9468,-0.0082
0.9386,-0.0165,,,,,0.9386,-0.0165
0.9221,-0.0148,,,,,0.9221,-0.0148
0.9074,-0.0364,,,,,0.9074,-0.0364
0.8710,-0.0342,,,,,0.8710,-0.0342
0.8368,-0.0728,,,,,0.8368,-0.0728
0.7640,-0.1505,,,,,0.7640,-0.1505
0.6135,-0.1620,,,,,0.6135,-0.1620
0.4515,-0.1341,,,,,0.4515,-0.1341
0.3174,-0.1031,,,,,0.3174,-0.1031
0.6600,0.0257,,,,,0.6600,0.0257
0.6857,0.0099,,,,,0.6857,0.0099
0.6956,-0.1022,,,,,0.6956,-0.1022
0.5934,-0.2098,,,,,0.5934,-0.2098
0.3836,-0.0093,,,,,0.3836,-0.0093
0.3743,-0.1472,,,,,0.3743,-0.1472
0.2272,-0.0027,,,,,0.2272,-0.0027
0.2245,0.1003,,,,,0.2245,0.1003
0.3248,0.0170,,,,,0.3248,0.0170
0.3419,0.0409,,,,,0.3419,0.0409
0.3828,-0.0574,,,,,0.3828,-0.0574
0.3254,-0.0185,,,,,0.3254,-0.0185
0.3069,0.1450,,,,,0.3069,0.1450
0.4519,-0.0411,,,,,0.4519,-0.0411
0.4108,-0.0690,,,,,0.4108,-0.0690
0.3418,-0.0368,,,,,0.3418,-0.0368
0.3050,-0.0211,,,,,0.3050,-0.0211
0.2840,-0.0534,,,,,0.2840,-0.0534
0.2306,-0.0143,,,,,0.2306,-0.0143
0.2163,-0.0748,,,,,0.2163,-0.0748
0.1415,0.0123,,,,,0.1415,0.0123
0.1538,0.0531,,,,,0.1538,0.0531
0.2069,0.0201,,,,,0.2069,0.0201
0.2271,0.0213,,,,,0.2271,0.0213
0.2484,0.0361,,,,,0.2484,0.0361
0.2845,0.0983,,,,,0.2845,0.0983
0.3828,0.0797,,,,,0.3828,0.0797
0.4625,0.1337,,,,,0.4625,0.1337
0.5962,0.1657,,,,,0.5962,0.1657
0.7619,0.2067,,,,,0.7619,0.2067
0.9686,-0.2566,,,,,0.9686,-0.2566
0.7120,0.0658,,,,,0.7120,0.0658
0.7778,-0.0303,,,,,0.7778,-0.0303
0.7475,-0.7475,,,,,0.7475,-0.7475
0.4013,0.2132,,,,,0.4013,0.2132
0.6145,-0.0116,,,,,0.6145,-0.0116
0.6029,0.0263,,,,,0.6029,0.0263
0.6292,0.0191,,,,,0.6292,0.0191
0.6483,0.0342,,,,,0.6483,0.0342
0.6825,0.0341,,,,,0.6825,0.0341
0.7166,-0.7166,,,,,0.7166,-0.7166
0.6145,0.1152,,,,,0.6145,0.1152
0.7297,0.1401,,,,,0.7297,0.1401
0.8698,0.1128,,,,,0.8698,0.1128
0.9827,-0.0249,,,,,0.9827,-0.0249
0.9578,-0.0325,,,,,0.9578,-0.0325
0.9252,-0.0043,,,,,0.9252,-0.0043
0.9210,-0.0551,,,,,0.9210,-0.0551
0.8658,0.0460,,,,,0.8658,0.0460
0.9118,-0.0186,,,,,0.9118,-0.0186
0.8933,0.0302,,,,,0.8933,0.0302
0.9235,-0.0128,,,,,0.9235,-0.0128
0.9106,0.0066,,,,,0.9106,0.0066
0.9173,-0.0467,,,,,0.9173,-0.0467
0.8706,-0.0358,,,,,0.8706,-0.0358
0.8348,-0.1731,,,,,0.8348,-0.1731
0.6618,0.1751,,,,,0.6618,0.1751
0.8369,-0.1463,,,,,0.8369,-0.1463
0.6906,0.0085,,,,,0.6906,0.0085
0.6991,-0.1699,,,,,0.6991,-0.1699
0.5292,-0.1891,,,,,0.5292,-0.1891
0.3401,0.0081,,,,,0.3401,0.0081
0.3482,-0.0133,,,,,0.3482,-0.0133
0.3349,0.0401,,,,,0.3349,0.0401
0.3750,-0.0367,,,,,0.3750,-0.0367
0.3382,-0.0998,,,,,0.3382,-0.0998
0.2384,-0.0215,,,,,0.2384,-0.0215
0.2170,-0.0996,,,,,0.2170,-0.0996
0.1173,-0.0570,,,,,0.1173,-0.0570
0.0603,-0.0228,,,,,0.0603,-0.0228
0.7937,-0.1786,,,,,0.7937,-0.1786
0.6151,-0.1320,,,,,0.6151,-0.1320
0.4832,-0.0229,,,,,0.4832,-0.0229
0.4602,-0.0112,,,,,0.4602,-0.0112
0.4490,0.0302,,,,,0.4490,0.0302
0.4793,0.2653,,,,,0.4793,0.2653
0.7446,0.0805,,,,,0.7446,0.0805
0.8251,-0.8251,,,,,0.8251,-0.8251
0.7909,-0.1831,,,,,0.7909,-0.1831
0.6078,-0.0529,,,,,0.6078,-0.0529
0.5549,-0.0746,,,,,0.5549,-0.0746
0.4803,-0.0597,,,,,0.4803,-0.0597
0.4206,0.1100,,,,,0.4206,0.1100
0.5306,-0.0740,,,,,0.5306,-0.0740
0.4566,-0.0239,,,,,0.4566,-0.0239
0.4326,0.0227,,,,,0.4326,0.0227
0.4554,-0.0133,,,,,0.4554,-0.0133
0.4420,-0.2406,,,,,0.4420,-0.2406
0.2014,-0.0335,,,,,0.2014,-0.0335
0.1679,0.0294,,,,,0.1679,0.0294
0.1972,0.2859,,,,,0.1972,0.2859
0.4832,0.0797,,,,,0.4832,0.0797
0.5629,-0.1227,,,,,0.5629,-0.1227
0.4401,-0.0380,,,,,0.4401,-0.0380
0.4022,-0.0443,,,,,0.4022,-0.0443
0.3579,0.1303,,,,,0.3579,0.1303
0.4882,-0.0010,,,,,0.4882,-0.0010
0.4872,0.0517,,,,,0.4872,0.0517
0.5389,0.0417,,,,,0.5389,0.0417
0.5806,0.2780,,,,,0.5806,0.2780
0.8586,-0.8586,,,,,0.8586,-0.8586
1.0058,-0.0382,,,,,1.0058,-0.0382
0.9676,-0.0028,,,,,0.9676,-0.0028
0.9648,-0.0003,,,,,0.9648,-0.0003
0.9645,-0.0016,,,,,0.9645,-0.0016
0.9629,0.0004,,,,,0.9629,0.0004
0.9633,0.0044,,,,,0.9633,0.0044
0.9677,0.0085,,,,,0.9677,0.0085
0.9762,0.0141,,,,,0.9762,0.0141
0.9903,-0.0763,,,,,0.9903,-0.0763
0.9140,-0.0196,,,,,0.9140,-0.0196
0.8944,-0.1161,,,,,0.8944,-0.1161
0.7783,0.1301,,,,,0.7783,0.1301
0.9084,0.0612,,,,,0.9084,0.0612
0.9696,0.0110,,,,,0.9696,0.0110
0.9806,-0.1066,,,,,0.9806,-0.1066
0.8740,-0.3703,,,,,0.8740,-0.3703
0.5037,-0.0175,,,,,0.5037,-0.0175
0.4862,0.0572,,,,,0.4862,0.0572
0.5434,0.0939,,,,,0.5434,0.0939
0.6372,-0.1955,,,,,0.6372,-0.1955
0.4417,-0.0751,,,,,0.4417,-0.0751
0.3667,-0.0248,,,,,0.3667,-0.0248
0.3419,-0.0493,,,,,0.3419,-0.0493
0.2925,-0.0537,,,,,0.2925,-0.0537
0.2388,-0.0371,,,,,0.2388,-0.0371
0.2017,-0.0168,,,,,0.2017,-0.0168
0.1849,-0.0051,,,,,0.1849,-0.0051
0.1797,0.0002,,,,,0.1797,0.0002
0.1800,-0.0204,,,,,0.1800,-0.0204
0.1596,-0.0305,,,,,0.1596,-0.0305
0.1291,-0.0249,,,,,0.1291,-0.0249
0.1042,-0.0209,,,,,0.1042,-0.0209
0.0833,-0.0127,,,,,0.0833,-0.0127
0.0706,-0.0079,,,,,0.0706,-0.0079
0.0627,-0.0086,,,,,0.0627,-0.0086
0.0542,-0.0055,,,,,0.0542,-0.0055
0.0487,-0.0211,,,,,0.0487,-0.0211
0.6276,0.0571,,,,,0.6276,0.0571
0.6846,0.1563,,,,,0.6846,0.1563
0.8409,0.0411,,,,,0.8409,0.0411
0.8820,-0.4332,,,,,0.8820,-0.4332
0.4488,-0.3516,,,,,0.4488,-0.3516
0.0972,-0.0972,,,,,0.0972,-0.0972
0.6347,0.0566,,,,,0.6347,0.0566
0.6913,0.1567,,,,,0.6913,0.1567
0.8480,0.0404,,,,,0.8480,0.0404
0.8884,-0.4367,,,,,0.8884,-0.4367
0.4517,-0.3539,,,,,0.4517,-0.3539
0.0978,-0.0625,,,,,0.0978,-0.0625
0.0353,-0.0236,,,,,0.0353,-0.0236
0.0116,-0.0116,,,,,0.0116,-0.0116
0.6088,-0.0467,,,,,0.2083,-0.1361
,,,,,,0.0722,-0.0064
,,,,,,0.0658,0.0523
,,,,,,0.1182,0.0461
,,,,,,0.1643,0.0332
,,,,,,0.1974,-0.0249
,,,,,,0.1726,0.0040
,,,,,,0.1766,-0.0578
,,,,,,0.1188,-0.0141
,,,,,,0.1047,0.0080
,,,,,,0.1126,-0.0265
,,,,,,0.0861,0.0545
,,,,,,0.1406,0.0142
,,,,,,0.1549,0.0050
,,,,,,0.1598,-0.0788
,,,,,,0.0810,0.0148
,,,,,,0.0958,-0.0142
,,,,,,0.0816,0.0105
,,,,,,0.0921,-0.0161
,,,,,,0.0761,0.0697
,,,,,,0.1457,-0.0452
,,,,,,0.1005,0.0205
,,,,,,0.1210,0.0332
,,,,,,0.1542,-0.0108
,,,,,,0.1434,-0.0271
,,,,,,0.1164,0.0131
,,,,,,0.1295,-0.0387
,,,,,,0.0908,0.0124
,,,,,,0.1032,0.0417
,,,,,,0.1449,0.0089
,,,,,,0.1538,0.0017
,,,,,,0.1555,-0.0295
,,,,,,0.1260,0.0004
,,,,,,0.1264,0.0091
,,,,,,0.1354,-0.0015
,,,,,,0.1339,-0.0326
,,,,,,0.1013,-0.0175
,,,,,,0.0838,0.0146
,,,,,,0.0984,0.0135
,,,,,,0.1119,0.0135
,,,,,,0.1254,-0.0063
,,,,,,0.1191,0.0511
,,,,,,0.1702,0.0091
,,,,,,0.1793,-0.0211
,,,,,,0.1582,0.0092
,,,,,,0.1675,-0.0109
,,,,,,0.1566,-0.0006
,,,,,,0.1561,-0.0344
,,,,,,0.1216,-0.0127
,,,,,,0.1089,-0.0071
,,,,,,0.1019,0.0079
,,,,,,0.1098,-0.0023
,,,,,,0.1074,-0.0095
,,,,,,0.0979,0.0274
,,,,,,0.1253,-0.0014
,,,,,,0.1239,0.0365
,,,,,,0.1604,0.0101
,,,,,,0.1705,-0.0173
,,,,,,0.1532,-0.0057
,,,,,,0.1475,0.0010
,,,,,,0.1485,0.0105
,,,,,,0.1590,0.0083
,,,,,,0.1673,-0.0716
,,,,,,0.0956,0.0452
,,,,,,0.1409,0.0988
,,,,,,0.2397,0.1890
,,,,,,0.4286,-0.0817
,,,,,,0.3470,-0.0303
,,,,,,0.3166,-0.1502
,,,,,,0.1665,-0.0620
,,,,,,0.1045,-0.0530
,,,,,,0.0515,-0.0515
,,,,,,0.3225,-0.1001
,,,,,,0.2224,0.1349
,,,,,,0.3573,-0.0647
,,,,,,0.2926,0.0470
,,,,,,0.3396,0.0064
,,,,,,0.3460,-0.0822
,,,,,,0.2638,-0.0276
,,,,,,0.2362,-0.0110
,,,,,,0.2252,-0.0750
,,,,,,0.1503,-0.0223
,,,,,,0.1280,-0.0151
,,,,,,0.1129,-0.0090
,,,,,,0.1038,0.0624
,,,,,,0.1662,0.0579
,,,,,,0.2241,-0.0731
,,,,,,0.1509,0.1204
,,,,,,0.2713,0.0258
,,,,,,0.2971,-0.0377
,,,,,,0.2595,0.0710
,,,,,,0.3304,-0.0987
,,,,,,0.2318,0.0242
,,,,,,0.2559,0.2360
,,,,,,0.4919,0.0420
,,,,,,0.5339,-0.0516
,,,,,,0.4822,-0.0553
,,,,,,0.4269,0.0779
,,,,,,0.5048,-0.0637
,,,,,,0.4411,-0.0203
,,,,,,0.4208,-0.0090
,,,,,,0.4118,-0.1668
,,,,,,0.2450,-0.0805
,,,,,,0.1645,0.1247
,,,,,,0.2892,0.1556
,,,,,,0.4448,0.1641
,,,,,,0.6089,0.0033
,,,,,,0.6123,-0.0123
,,,,,,0.5999,-0.2021
,,,,,,0.3978,0.0123
,,,,,,0.4100,0.0112
,,,,,,0.4213,0.0102
,,,,,,0.4315,0.0539
,,,,,,0.4854,-0.0051
,,,,,,0.4803,0.0295
,,,,,,0.5097,-0.0365
,,,,,,0.4732,0.0529
,,,,,,0.5262,-0.0593
,,,,,,0.4669,-0.0670
,,,,,,0.3999,-0.0285
,,,,,,0.3715,0.0161
,,,,,,0.3875,-0.1513
,,,,,,0.2362,-0.0087
,,,,,,0.2275,0.0017
,,,,,,0.2292,0.0002
,,,,,,0.2294,-0.0534
,,,,,,0.1760,0.0005
,,,,,,0.1765,-0.0113
,,,,,,0.1652,-0.0057
,,,,,,0.1595,-0.0261
,,,,,,0.1335,0.0418
,,,,,,0.1753,0.0219
,,,,,,0.1972,0.0549
,,,,,,0.2521,-0.0279
,,,,,,0.2242,-0.0146
,,,,,,0.2095,-0.0162
,,,,,,0.1933,0.0062
,,,,,,0.1996,0.0238
,,,,,,0.2234,0.0185
,,,,,,0.2419,0.0270
,,,,,,0.2688,0.0063
,,,,,,0.2751,0.0752
,,,,,,0.3504,-0.1059
