Kt*_C_NA_Nzi,ΔKt*_C_NA_Nzi,Kt*_Cy_NA_Nzi,ΔKt*_Cy_NA_Nzi,Kt*_I_NA_Nzi,ΔKt*_I_NA_Nzi,Kt*_AD_NA_Nzi,ΔKt*_AD_NA_Nzi
0.6383,-0.1164,0.3396,0.0064,0.0701,0.1460,0.6383,-0.1164
0.5219,0.1715,0.3460,-0.0822,0.2161,-0.0027,0.5219,0.1715
0.6934,-0.1381,0.2638,-0.0276,0.2134,0.0369,0.6934,-0.1381
0.5553,0.2008,0.2362,-0.0110,0.2503,-0.0509,0.5553,0.2008
0.7561,0.0609,0.2252,-0.0750,0.1994,-0.1127,0.7561,0.0609
0.8170,-0.0862,0.1503,-0.0223,0.0867,-0.0103,0.8170,-0.0862
0.7308,0.0427,0.1280,-0.0151,0.0764,-0.0221,0.7308,0.0427
0.7734,-0.1991,0.1129,-0.0090,0.0544,0.0496,0.7734,-0.1991
0.5743,0.0109,0.1038,0.0624,0.1039,0.1052,0.5743,0.0109
0.5852,0.2210,0.1662,0.0579,0.2092,0.1488,0.5852,0.2210
0.8062,-0.0452,0.2241,-0.0731,0.3580,0.1296,0.8062,-0.0452
0.7610,-0.0430,0.1509,0.1204,0.4876,0.2749,0.7610,-0.0430
0.7180,0.0854,0.2713,0.0258,0.7625,-0.7625,0.7180,0.0854
0.8034,-0.1526,0.2971,-0.0377,0.7256,-0.2814,0.8034,-0.1526
0.6508,-0.1813,0.2595,0.0710,0.4442,0.2067,0.6508,-0.1813
0.4695,0.3299,0.3304,-0.0987,0.6508,-0.3681,0.4695,0.3299
0.7994,-0.0082,0.2318,0.0242,0.2827,-0.0750,0.7994,-0.0082
0.7912,-0.0219,0.2559,0.2360,0.2077,-0.1276,0.7912,-0.0219
0.7692,0.0280,0.4919,0.0420,0.0801,-0.0005,0.7692,0.0280
0.7972,-0.0047,0.5339,-0.0516,0.0796,-0.0039,0.7972,-0.0047
0.7925,-0.0722,0.4822,-0.0553,0.0757,0.0248,0.7925,-0.0722
0.7203,0.0516,0.4269,0.0779,0.1004,0.0279,0.7203,0.0516
0.7719,-0.1411,0.5048,-0.0637,0.1284,-0.0270,0.7719,-0.1411
0.6307,-0.1212,0.4411,-0.0203,0.1014,0.0618,0.6307,-0.1212
0.5095,0.0636,0.4208,-0.0090,0.1632,0.0967,0.5095,0.0636
0.5731,0.0937,0.4118,-0.1668,0.2598,-0.0383,0.5731,0.0937
0.6668,-0.0862,0.2450,-0.0805,0.2216,0.0042,0.6668,-0.0862
0.5806,-0.2440,0.1645,0.1247,0.2258,0.1033,0.5806,-0.2440
0.3366,-0.0809,0.2892,0.1556,0.3291,-0.1009,0.3366,-0.0809
0.2557,0.0029,0.4448,0.1641,0.2281,-0.1584,0.2557,0.0029
0.2587,0.2980,0.6089,0.0033,0.0698,0.0600,0.2587,0.2980
0.5566,-0.1340,0.6123,-0.0123,0.1297,0.0127,0.5566,-0.1340
0.4227,0.0163,0.5999,-0.2021,0.1425,0.0196,0.4227,0.0163
0.4389,-0.1656,0.3978,0.0123,0.1621,0.0290,0.4389,-0.1656
0.2734,0.4066,0.4100,0.0112,0.1911,0.0401,0.2734,0.4066
0.6800,-0.3965,0.4213,0.0102,0.2312,-0.0580,0.6800,-0.3965
0.2835,-0.1296,0.4315,0.0539,0.1733,-0.0407,0.2835,-0.1296
0.1539,-0.0860,0.4854,-0.0051,0.1325,0.0127,0.1539,-0.0860
0.0679,0.1029,0.4803,0.0295,0.1452,0.0260,0.0679,0.1029
0.1708,0.0765,0.5097,-0.0365,0.1712,0.0982,0.1708,0.0765
0.2472,-0.0616,0.4732,0.0529,0.2694,0.1799,0.2472,-0.0616
0.1856,0.1468,0.5262,-0.0593,0.4493,0.1461,0.1856,0.1468
0.3325,0.0448,0.4669,-0.0670,0.5954,0.1627,0.3325,0.0448
0.3773,-0.1532,0.3999,-0.0285,0.7581,0.0637,0.3773,-0.1532
0.2240,0.0429,0.3715,0.0161,0.8218,-0.0054,0.2240,0.0429
0.2669,0.1017,0.3875,-0.1513,0.8164,-0.0884,0.2669,0.1017
0.3686,0.1279,0.2362,-0.0087,0.7280,-0.0695,0.3686,0.1279
0.4965,-0.1469,0.2275,0.0017,0.6585,-0.1817,0.4965,-0.1469
0.3496,-0.0887,0.2292,0.0002,0.4767,-0.1512,0.3496,-0.0887
0.2610,-0.0385,0.2294,-0.0534,0.3255,-0.1386,0.2610,-0.0385
0.2224,-0.0525,0.1760,0.0005,0.1869,-0.0739,0.2224,-0.0525
0.1699,-0.0823,0.1765,-0.0113,0.1130,0.2611,0.1699,-0.0823
0.0876,-0.0350,0.1652,-0.0057,0.3741,-0.3741,0.0876,-0.0350
0.0526,-0.0526,0.1595,-0.0261,0.8881,-0.1052,0.0526,-0.0526
0.9996,-0.0571,0.1335,0.0418,0.7829,-0.2292,0.9996,-0.0571
0.9425,0.0111,0.1753,0.0219,0.5536,0.3187,0.9425,0.0111
0.9536,-0.0536,0.1972,0.0549,0.8723,-0.5149,0.9536,-0.0536
0.9000,-0.0758,0.2521,-0.0279,0.3575,-0.0170,0.9000,-0.0758
0.8242,0.1231,0.2242,-0.0146,0.3404,0.0936,0.8242,0.1231
0.9473,-0.9473,0.2095,-0.0162,0.4340,0.0749,0.9473,-0.9473
0.8444,-0.0856,0.1933,0.0062,0.5089,0.2942,0.8444,-0.0856
0.7588,-0.0275,0.1996,0.0238,0.8031,-0.4494,0.7588,-0.0275
0.7313,0.1439,0.2234,0.0185,0.3537,0.1234,0.7313,0.1439
0.8752,0.0360,0.2419,0.0270,0.4772,-0.2050,0.8752,0.0360
0.9112,-0.0841,0.2688,0.0063,0.2722,0.0153,0.9112,-0.0841
0.8271,0.0288,0.2751,0.0752,0.2875,0.0551,0.8271,0.0288
0.8560,-0.0415,0.3504,-0.1059,0.3426,-0.3426,0.8560,-0.0415
0.8144,0.0535,0.2444,-0.1707,0.8343,-0.0073,0.8144,0.0535
0.8679,0.0898,0.2023,-0.1231,0.8270,-0.1686,0.8679,0.0898
0.9577,0.0010,0.0792,-0.0494,0.6584,-0.0055,0.9577,0.0010
0.9587,0.0002,0.0298,0.0331,0.6529,-0.1235,0.9587,0.0002
0.9589,-0.0107,0.0630,0.0692,0.5293,0.0080,0.9589,-0.0107
0.9481,-0.0126,0.1321,0.0454,0.5373,0.1161,0.9481,-0.0126
0.9355,0.0367,0.1775,0.0353,0.6534,0.0500,0.9355,0.0367
0.9722,-0.1067,0.2129,0.1827,0.7034,-0.1033,0.9722,-0.1067
0.8655,0.0452,0.3956,-0.1525,0.6001,0.0100,0.8655,0.0452
0.9107,-0.0109,0.2431,-0.1369,0.6101,-0.2060,0.9107,-0.0109
0.8999,-0.0049,0.1062,-0.0514,0.4041,-0.0100,0.8999,-0.0049
0.8950,-0.0199,0.0549,0.0079,0.3941,0.0998,0.8950,-0.0199
0.8752,-0.0063,0.0628,-0.0199,0.4940,-0.0548,0.8752,-0.0063
0.8688,-0.0290,0.0428,0.0263,0.4392,-0.0411,0.8688,-0.0290
0.8398,0.0007,0.0691,0.0166,0.3981,0.0260,0.8398,0.0007
0.8406,0.0089,0.0857,0.0412,0.4240,0.0432,0.8406,0.0089
0.8495,0.0005,0.1269,-0.0505,0.4673,0.0268,0.8495,0.0005
0.8500,-0.0010,0.0764,0.0173,0.4941,-0.0039,0.8500,-0.0010
0.8490,-0.0185,0.0936,0.0795,0.4902,0.0013,0.8490,-0.0185
0.8305,-0.0255,0.1732,-0.1319,0.4915,-0.0458,0.8305,-0.0255
0.8050,-0.0219,0.0413,0.0190,0.4457,-0.0095,0.8050,-0.0219
0.7831,-0.0290,0.0603,0.0333,0.4361,0.0152,0.7831,-0.0290
0.7541,0.0139,0.0936,0.0290,0.4513,0.0890,0.7541,0.0139
0.7681,-0.0137,0.1226,-0.0505,0.5403,-0.0109,0.7681,-0.0137
0.7544,-0.0107,0.0721,-0.0208,0.5294,-0.0652,0.7544,-0.0107
0.7436,-0.0637,0.0513,-0.0152,0.4642,-0.0877,0.7436,-0.0637
0.6799,-0.0183,0.0361,0.0088,0.3765,-0.0888,0.6799,-0.0183
