kt*
0.0237
0.0469
0.0449
0.0510
0.0716
0.1052
0.1277
0.1061
0.1025
0.1103
0.1611
0.2166
0.1986
0.1612
0.1555
0.1407
0.1132
0.1520
0.0992
0.2239
0.1201
0.1461
0.2801
0.2299
0.2249
0.2333
0.2532
0.2959
0.3639
0.3125
0.3667
0.5917
0.4016
0.3753
0.4447
0.5582
0.4558
0.6052
0.8229
0.6511
0.7400
0.5192
0.7223
0.8044
0.7167
0.9321
0.7628
0.9668
0.6695
0.8565
0.8333
0.9500
0.5968
0.9931
0.7077
0.5058
0.5449
0.5746
0.4371
0.6093
0.4553
0.4164
0.4519
0.4693
0.5330
0.5235
0.3523
0.2915
0.2052
0.1428
0.0673
0.0098
